ID_Kejadian,Tanggal_Kejadian,ID_Mesin,Usia_Mesin_Tahun,Penyebab_Downtime,Durasi_Downtime_Menit,Beban_Kerja_Harian_Persen,Shift_Kejadian,Biaya_Perbaikan_Ribu_Rupiah
DT0070,2025-08-29,M03,3.0,Kerusakan Mekanis,45.1,71.5,Siang,
DT0071,2026-01-19,M07,7.9,Kerusakan Elektrikal,62.3,56.7,Siang,
DT0072,2025-08-16,M10,6.4,Kekurangan Bahan Baku,57.0,85.7,Pagi,741.0
DT0073,2025-10-17,M10,6.3,Kerusakan Elektrikal,56.7,100.0,Malam,247.0
DT0074,2025-09-21,M03,2.7,Kerusakan Elektrikal,44.0,89.8,Malam,1097.0
DT0075,2025-08-03,M05,7.5,Kesalahan Operator,60.9,70.3,Siang,1101.0
DT0076,2025-12-31,M08,10.9,Pergantian Alat (Tooling Change),73.0,70.2,Pagi,1079.0
DT0077,2025-10-31,M03,3.1,Kerusakan Mekanis,45.7,64.3,Malam,1164.0
DT0078,2026-01-08,M06,13.0,Kerusakan Elektrikal,80.2,64.0,Siang,1573.0
DT0079,2025-11-21,M04,11.4,Kekurangan Bahan Baku,74.7,86.4,Siang,
DT0080,2025-10-30,M06,12.9,Pergantian Alat (Tooling Change),79.8,87.0,Siang,939.0
DT0081,2025-09-14,M07,8.5,Kerusakan Mekanis,64.3,54.5,Malam,984.0
DT0082,2025-11-17,M09,-5.9,Kerusakan Mekanis,55.2,77.5,Malam,
DT0083,2025-12-12,M05,6.5,Kerusakan Elektrikal,57.5,88.7,Siang,
DT0084,2025-08-06,M03,2.9,Kerusakan Elektrikal,44.7,66.7,Pagi,945.0
DT0085,2025-09-12,M01,6.8,Kerusakan Mekanis,58.5,68.8,Siang,875.0
DT0086,2025-10-06,M07,8.4,Kesalahan Operator,64.0,82.4,Siang,1252.0
DT0087,2025-08-22,M09,6.0,Kerusakan Mekanis,55.6,82.9,Siang,396.0
DT0088,2025-08-16,M05,6.9,Kerusakan Mekanis,58.8,78.4,Siang,1174.0
DT0089,2025-09-15,M09,5.9,Kerusakan Mekanis,55.5,75.8,Siang,
DT0090,2025-10-02,M05,7.3,Kerusakan Mekanis,60.4,77.8,Siang,1322.0
DT0091,2025-11-06,M05,6.9,Kerusakan Mekanis,59.0,67.8,Siang,842.0
DT0092,2025-12-27,M01,6.5,Kerusakan Mekanis,57.4,55.2,Siang,822.0
DT0093,2026-01-04,M06,12.1,Kerusakan Mekanis,77.2,48.7,Malam,658.0
DT0094,2025-10-09,M06,12.6,Kerusakan Elektrikal,78.9,80.9,Siang,
DT0095,2025-11-05,M05,6.7,Kerusakan Elektrikal,58.2,73.6,Siang,1258.0
DT0096,2025-08-03,M06,12.5,Kerusakan Elektrikal,78.5,78.8,Pagi,
DT0097,2026-01-03,M06,13.0,Kesalahan Operator,80.1,59.6,Siang,1257.0
DT0098,2025-09-12,M07,8.4,Kesalahan Operator,64.1,73.5,Pagi,1116.0
DT0099,2025-08-12,M02,8.0,Kerusakan Elektrikal,62.7,73.2,Siang,961.0
DT0100,2025-11-19,M06,12.9,Kerusakan Mekanis,79.8,91.2,Pagi,1326.0
DT0101,2025-10-08,M05,6.4,Kekurangan Bahan Baku,57.1,84.8,Malam,903.0
DT0102,2025-10-15,M04,11.7,Kerusakan Mekanis,75.8,60.9,Malam,837.0
DT0103,2025-10-19,M05,6.7,Pergantian Alat (Tooling Change),58.3,79.6,Malam,596.0
DT0104,2025-11-23,M07,8.4,Kerusakan Elektrikal,64.1,60.8,Pagi,1446.0
DT0105,2025-12-25,M10,6.2,Kerusakan Mekanis,56.4,32.8,Siang,528.0
DT0106,2025-11-13,M03,2.8,Kerusakan Elektrikal,44.5,97.9,Siang,1167.0
DT0107,2025-11-20,M01,6.7,Pergantian Alat (Tooling Change),58.1,66.4,Pagi,1452.0
DT0108,2025-12-27,M04,11.6,Kerusakan Elektrikal,75.2,87.6,Malam,1417.0
DT0109,2025-12-22,M04,12.1,Kekurangan Bahan Baku,77.1,62.1,Malam,817.0
DT0110,2025-09-01,M01,6.7,Kekurangan Bahan Baku,58.2,59.9,Siang,870.0
DT0111,2025-10-01,M05,-6.9,Kerusakan Elektrikal,59.0,63.8,Malam,934.0
DT0112,2025-10-30,M06,12.5,Kerusakan Mekanis,78.4,75.8,Pagi,1437.0
DT0113,2026-01-18,M09,6.1,Kerusakan Elektrikal,56.2,74.6,Malam,1407.0
DT0114,2025-11-20,M07,8.1,Kerusakan Mekanis,62.9,79.5,Malam,1284.0
DT0115,2025-12-27,M05,7.2,Kerusakan Elektrikal,60.0,64.6,Malam,
DT0116,2025-12-24,M07,7.9,Kerusakan Mekanis,62.5,72.6,Siang,791.0
DT0117,2026-01-15,M03,2.6,Kesalahan Operator,43.8,59.4,Pagi,1240.0
DT0118,2025-11-03,M02,8.0,Kekurangan Bahan Baku,62.8,94.0,Siang,963.0
DT0119,2025-09-18,M06,12.8,Kerusakan Mekanis,79.6,52.3,Malam,735.0
DT0120,2025-10-15,M05,6.7,Pergantian Alat (Tooling Change),58.3,59.7,Siang,683.0
DT0121,2025-08-02,M03,3.1,Kekurangan Bahan Baku,45.4,65.6,Pagi,1220.0
DT0122,2025-12-04,M09,5.7,Kekurangan Bahan Baku,54.8,100.0,Siang,1256.0
DT0123,2025-11-21,M06,12.8,Kerusakan Mekanis,79.7,83.5,Pagi,1315.0
DT0124,2025-08-31,M06,12.9,Kerusakan Elektrikal,79.7,59.2,Siang,1517.0
DT0125,2025-10-30,M07,8.4,Kerusakan Elektrikal,64.2,84.3,Siang,1374.0
DT0126,2025-12-10,M03,2.9,Kerusakan Mekanis,44.7,79.7,Pagi,
DT0127,2025-12-21,M06,12.7,Kerusakan Elektrikal,79.3,76.1,Siang,940.0
DT0128,2025-12-21,M09,5.7,Kerusakan Mekanis,54.8,82.4,Siang,608.0
DT0129,2025-08-18,M07,8.0,Pergantian Alat (Tooling Change),62.9,72.9,Malam,377.0
DT0130,2025-10-08,M09,-6.2,Kesalahan Operator,56.4,74.6,Pagi,557.0
DT0131,2025-11-17,M01,6.5,Kerusakan Mekanis,57.5,48.7,Siang,893.0
DT0132,2025-08-20,M08,10.9,Kerusakan Mekanis,72.8,93.6,Siang,1499.0
DT0133,2025-09-06,M07,8.8,Kerusakan Mekanis,65.6,65.3,Pagi,428.0
DT0134,2026-01-20,M09,5.9,Pergantian Alat (Tooling Change),55.3,53.4,Pagi,850.0
DT0135,2025-11-03,M10,6.0,Kerusakan Mekanis,55.8,64.4,Siang,
DT0136,2025-11-14,M02,8.4,Pergantian Alat (Tooling Change),64.2,65.0,Malam,984.0
DT0137,2025-08-29,M05,6.9,Pergantian Alat (Tooling Change),58.8,60.0,Malam,
DT0138,2025-11-25,M10,6.4,Kerusakan Mekanis,57.1,83.7,Malam,1201.0
DT0139,2026-01-14,M09,6.0,Pergantian Alat (Tooling Change),55.8,86.6,Malam,988.0
DT0140,2026-01-23,M02,9.1,Kerusakan Elektrikal,66.7,42.6,Siang,917.0
DT0141,2025-09-03,M06,12.8,Kerusakan Mekanis,79.6,64.3,Pagi,403.0
DT0142,2025-09-10,M04,11.8,Pergantian Alat (Tooling Change),75.9,65.4,Siang,856.0
DT0143,2025-11-14,M08,10.7,Kerusakan Elektrikal,72.3,69.4,Siang,
DT0144,2026-01-10,M06,13.0,Kerusakan Mekanis,80.2,97.6,Pagi,1524.0
DT0145,2025-08-02,M04,11.5,Kekurangan Bahan Baku,74.9,59.8,Pagi,854.0
DT0146,2025-09-11,M05,6.7,Kekurangan Bahan Baku,58.1,95.4,Pagi,1028.0
DT0147,2025-08-29,M10,6.5,Kekurangan Bahan Baku,57.4,69.8,Malam,
DT0148,2025-12-23,M04,11.5,Kerusakan Mekanis,75.0,95.6,Pagi,1215.0
DT0149,2025-10-31,M03,2.9,Kekurangan Bahan Baku,45.0,67.3,Siang,1126.0
DT0150,2025-12-09,M02,8.8,Kerusakan Mekanis,65.5,65.6,Pagi,881.0
DT0151,2025-08-08,M02,8.6,Kerusakan Elektrikal,64.7,71.7,Siang,1155.0
DT0152,2025-08-25,M01,6.6,Kerusakan Mekanis,57.8,91.4,Siang,1593.0
DT0153,2025-11-08,M01,6.5,Kerusakan Elektrikal,57.4,74.4,Pagi,1249.0
DT0154,2025-10-16,M06,13.0,Pergantian Alat (Tooling Change),80.2,75.1,Siang,1480.0
DT0155,2025-09-03,M06,12.6,Kerusakan Mekanis,78.8,81.6,Malam,1167.0
DT0156,2025-09-17,M08,10.7,Kerusakan Mekanis,72.3,58.8,Siang,1475.0
DT0157,2025-12-11,M07,8.5,Kekurangan Bahan Baku,64.3,77.1,Malam,1340.0
DT0158,2025-08-03,M02,8.6,Kerusakan Mekanis,64.8,62.6,Malam,
DT0159,2026-01-06,M07,8.7,Kerusakan Mekanis,65.1,94.1,Siang,
DT0160,2025-08-30,M05,6.8,Kerusakan Elektrikal,58.7,78.3,Malam,
DT0161,2025-12-17,M02,8.9,Kerusakan Elektrikal,66.0,82.4,Pagi,1272.0
DT0162,2025-11-24,M07,8.3,Kerusakan Mekanis,63.8,41.4,Siang,819.0
DT0163,2025-08-12,M07,8.5,Kekurangan Bahan Baku,64.4,82.6,Siang,515.0
DT0164,2025-12-18,M05,6.8,Kerusakan Mekanis,58.6,69.3,Pagi,1218.0
DT0165,2025-10-30,M02,9.1,Pergantian Alat (Tooling Change),66.7,50.4,Malam,1338.0
DT0166,2025-09-25,M01,-6.5,Kekurangan Bahan Baku,57.6,73.4,Malam,991.0
DT0167,2025-08-21,M08,10.7,Kerusakan Mekanis,72.1,49.2,Siang,1202.0
DT0168,2025-08-22,M02,8.5,Kekurangan Bahan Baku,64.6,81.2,Malam,
DT0169,2025-10-14,M03,2.8,Kekurangan Bahan Baku,44.4,93.5,Malam,1116.0
DT0170,2025-09-23,M07,8.5,Kesalahan Operator,64.3,45.1,Malam,
DT0171,2026-01-01,M05,7.2,Kekurangan Bahan Baku,60.1,71.6,Pagi,572.0
DT0172,2025-11-08,M09,6.1,Kerusakan Mekanis,56.0,69.5,Siang,546.0
DT0173,2025-08-08,M04,11.6,Kekurangan Bahan Baku,75.3,42.2,Siang,
DT0174,2026-01-08,M09,6.0,Kekurangan Bahan Baku,55.6,85.7,Malam,476.0
DT0175,2025-09-16,M04,11.4,Kekurangan Bahan Baku,74.6,81.4,Pagi,1232.0
DT0176,2025-11-20,M01,6.7,Kerusakan Elektrikal,58.0,100.0,Malam,1057.0
DT0177,2025-12-30,M08,10.8,Pergantian Alat (Tooling Change),72.4,79.4,Siang,
DT0178,2025-12-01,M07,8.7,Kerusakan Mekanis,65.2,58.8,Malam,1359.0
DT0179,2025-10-14,M10,5.9,Kesalahan Operator,55.4,79.7,Pagi,1144.0
DT0180,2025-08-02,M01,7.1,Kerusakan Mekanis,59.5,91.3,Malam,1177.0
DT0181,2025-09-13,M06,12.6,Kerusakan Mekanis,79.0,65.0,Siang,864.0
DT0182,2025-11-13,M08,10.8,Kerusakan Mekanis,72.5,84.8,Malam,1831.0
DT0183,2026-01-21,M05,6.5,Kesalahan Operator,57.6,36.7,Siang,
DT0184,2025-08-07,M03,3.0,Pergantian Alat (Tooling Change),45.3,94.1,Malam,
DT0185,2025-08-29,M03,2.6,Kerusakan Elektrikal,43.7,84.0,Malam,595.0
DT0186,2025-10-05,M01,6.7,Kesalahan Operator,58.3,33.8,Pagi,1349.0
DT0187,2025-12-23,M07,8.4,Kerusakan Mekanis,64.3,77.7,Siang,460.0
DT0188,2026-01-21,M08,10.7,Kerusakan Mekanis,72.0,42.2,Siang,1698.0
DT0189,2025-09-02,M05,6.2,Kerusakan Mekanis,56.6,62.8,Pagi,
DT0190,2025-11-15,M01,7.3,Kerusakan Elektrikal,60.2,82.2,Malam,975.0
DT0191,2026-01-24,M08,10.4,Kerusakan Elektrikal,71.3,70.0,Pagi,866.0
DT0192,2026-01-30,M10,6.3,Kerusakan Mekanis,56.7,90.8,Pagi,1005.0
DT0193,2025-12-22,M07,8.1,Kerusakan Mekanis,63.2,73.0,Pagi,1149.0
DT0194,2025-12-21,M01,6.9,Kerusakan Mekanis,59.0,71.4,Siang,571.0
DT0195,2025-09-20,M05,6.8,Kerusakan Mekanis,58.4,88.5,Malam,371.0
DT0196,2025-09-26,M06,12.5,Kerusakan Elektrikal,78.3,66.9,Pagi,739.0
DT0197,2026-01-28,M10,6.4,Kerusakan Elektrikal,57.1,71.6,Siang,342.0
DT0198,2025-11-22,M05,6.5,Kerusakan Mekanis,57.4,73.6,Siang,960.0
DT0199,2025-08-21,M01,6.5,Kerusakan Mekanis,57.5,71.0,Siang,470.0
DT0200,2025-08-13,M08,11.0,Kekurangan Bahan Baku,73.1,89.4,Pagi,1229.0
DT0201,2026-01-05,M07,8.8,Pergantian Alat (Tooling Change),65.6,62.0,Malam,1316.0
DT0202,2025-08-24,M03,2.6,Kerusakan Elektrikal,43.7,59.5,Siang,1353.0
DT0203,2025-12-07,M05,6.7,Kerusakan Elektrikal,58.1,56.1,Pagi,708.0
DT0204,2025-09-28,M01,6.7,Kesalahan Operator,58.3,39.9,Malam,1091.0
DT0205,2025-09-01,M02,7.9,Kekurangan Bahan Baku,62.4,94.3,Siang,1494.0
DT0206,2025-08-21,M04,11.9,Kerusakan Mekanis,76.5,58.5,Siang,1431.0
DT0207,2025-11-09,M01,6.3,Pergantian Alat (Tooling Change),56.9,68.4,Pagi,986.0
DT0208,2025-12-26,M03,2.7,Kerusakan Elektrikal,44.2,95.4,Siang,1021.0
DT0209,2025-08-03,M07,8.4,Kerusakan Elektrikal,64.3,69.9,Pagi,534.0
DT0210,2025-12-07,M04,11.6,Kekurangan Bahan Baku,75.2,79.7,Malam,1699.0
DT0211,2025-11-13,M02,8.2,Kerusakan Elektrikal,63.5,50.7,Siang,1565.0
DT0212,2025-12-24,M07,8.9,Pergantian Alat (Tooling Change),65.8,93.0,Pagi,707.0
DT0213,2025-11-15,M09,5.2,Kerusakan Mekanis,53.1,70.2,Malam,795.0
DT0214,2025-08-24,M06,12.3,Kerusakan Elektrikal,77.9,56.7,Malam,863.0
DT0215,2025-10-14,M04,11.3,Kerusakan Mekanis,74.4,56.7,Malam,
DT0216,2026-01-28,M09,5.7,Kekurangan Bahan Baku,54.8,97.3,Siang,1418.0
DT0217,2025-12-29,M04,11.9,Kerusakan Mekanis,76.4,63.2,Pagi,564.0
DT0218,2025-10-04,M01,6.1,Kerusakan Elektrikal,56.2,57.1,Pagi,733.0
DT0219,2026-01-18,M07,8.8,Pergantian Alat (Tooling Change),65.6,65.5,Siang,1393.0
DT0220,2025-08-02,M08,10.7,Kerusakan Mekanis,72.1,72.7,Pagi,942.0
DT0221,2025-11-06,M03,2.4,Kerusakan Mekanis,43.3,74.3,Malam,389.0
DT0222,2025-12-20,M04,10.9,Kerusakan Elektrikal,72.9,78.7,Pagi,922.0
DT0223,2025-12-02,M01,6.6,Kerusakan Elektrikal,57.7,75.5,Malam,280.0
DT0224,2025-09-02,M05,6.7,Kerusakan Mekanis,58.0,81.7,Siang,751.0
DT0225,2025-08-27,M05,6.9,Kerusakan Mekanis,59.0,67.9,Malam,
DT0226,2025-12-15,M03,2.7,Kerusakan Mekanis,44.2,100.0,Malam,
DT0227,2026-01-30,M06,13.0,Kerusakan Mekanis,80.1,64.7,Siang,1256.0
DT0228,2025-12-18,M07,8.3,Pergantian Alat (Tooling Change),63.9,92.3,Malam,1484.0
DT0229,2026-01-05,M05,6.7,Kerusakan Mekanis,58.3,63.0,Siang,1265.0
DT0230,2026-01-14,M08,11.0,Kerusakan Elektrikal,73.4,50.6,Pagi,1759.0
DT0231,2026-01-21,M05,6.9,Kerusakan Mekanis,59.0,47.0,Malam,1515.0
DT0232,2025-12-23,M05,7.1,Kesalahan Operator,59.6,76.6,Pagi,965.0
DT0233,2025-12-21,M07,8.7,Pergantian Alat (Tooling Change),65.2,89.4,Pagi,846.0
DT0234,2025-12-23,M02,8.4,Kerusakan Elektrikal,64.2,54.7,Siang,791.0
DT0235,2025-09-29,M09,6.0,Kekurangan Bahan Baku,55.8,58.8,Siang,1403.0
DT0236,2025-11-07,M07,8.6,Kerusakan Mekanis,64.9,77.8,Siang,1400.0
DT0237,2025-09-10,M04,10.8,Kerusakan Mekanis,72.5,72.0,Pagi,1671.0
DT0238,2025-11-06,M03,2.8,Kerusakan Elektrikal,44.6,63.2,Siang,
DT0239,2025-11-02,M08,10.7,Kerusakan Elektrikal,72.1,52.8,Siang,478.0
DT0240,2025-08-13,M01,6.7,Kerusakan Mekanis,58.3,76.6,Pagi,177.0
DT0241,2025-08-16,M01,6.4,Kerusakan Elektrikal,57.1,81.8,Siang,560.0
DT0242,2026-01-22,M07,8.7,Kekurangan Bahan Baku,65.2,79.4,Siang,1292.0
DT0243,2025-11-10,M05,6.6,Pergantian Alat (Tooling Change),58.0,72.4,Pagi,1154.0
DT0244,2025-08-06,M02,8.4,Pergantian Alat (Tooling Change),64.0,56.2,Malam,
DT0245,2025-10-07,M04,11.3,Kerusakan Elektrikal,74.4,76.7,Siang,278.0
DT0246,2026-01-11,M08,11.1,Kekurangan Bahan Baku,73.7,75.6,Malam,1227.0
DT0247,2025-12-12,M05,6.2,Kerusakan Elektrikal,56.6,52.3,Pagi,558.0
DT0248,2025-12-29,M06,13.2,Kerusakan Mekanis,81.0,67.5,Pagi,1047.0
DT0249,2025-11-23,M01,7.1,Kekurangan Bahan Baku,59.5,77.5,Malam,860.0
DT0250,2025-12-07,M08,10.6,Kerusakan Mekanis,71.8,70.8,Malam,
DT0251,2025-09-15,M02,8.8,Pergantian Alat (Tooling Change),65.6,42.6,Malam,
DT0252,2026-01-02,M03,2.9,Kerusakan Mekanis,44.8,62.4,Malam,193.0
DT0253,2025-12-13,M03,-3.3,Kerusakan Mekanis,46.4,61.4,Pagi,
DT0254,2025-09-13,M05,7.2,Kerusakan Mekanis,59.8,80.4,Malam,1116.0
DT0255,2025-09-26,M03,3.5,Pergantian Alat (Tooling Change),47.0,100.0,Pagi,432.0
DT0256,2025-12-19,M09,5.6,Kerusakan Mekanis,54.2,74.0,Siang,575.0
DT0257,2025-09-15,M04,11.6,Kerusakan Elektrikal,75.3,54.0,Malam,1086.0
DT0258,2025-12-01,M01,6.1,Kerusakan Mekanis,56.1,69.6,Siang,940.0
DT0259,2025-10-16,M05,6.7,Kekurangan Bahan Baku,58.2,72.2,Malam,996.0
DT0260,2025-09-22,M02,9.2,Kerusakan Elektrikal,66.9,83.3,Malam,
DT0261,2025-08-29,M03,3.0,Kesalahan Operator,45.2,90.6,Malam,442.0
DT0262,2025-12-11,M06,13.0,Kerusakan Mekanis,80.2,92.9,Malam,
DT0263,2025-09-29,M07,8.5,Kerusakan Mekanis,64.6,80.1,Siang,597.0
DT0264,2025-11-10,M07,8.5,Kerusakan Mekanis,64.5,72.0,Siang,730.0
DT0265,2025-09-17,M04,11.4,Kerusakan Elektrikal,74.6,94.3,Pagi,998.0
DT0266,2025-08-27,M09,5.8,Pergantian Alat (Tooling Change),55.1,66.8,Siang,631.0
DT0267,2025-08-04,M01,6.5,Kerusakan Mekanis,57.3,72.8,Malam,1587.0
DT0268,2026-01-19,M04,10.7,Kesalahan Operator,72.2,68.3,Pagi,1618.0
DT0269,2025-09-25,M03,2.8,Kerusakan Mekanis,44.6,40.0,Siang,774.0
DT0270,2025-11-14,M01,6.7,Pergantian Alat (Tooling Change),58.2,91.1,Malam,531.0
DT0271,2025-10-25,M06,12.5,Kekurangan Bahan Baku,78.5,82.1,Siang,1700.0
DT0272,2025-10-07,M01,6.6,Kesalahan Operator,57.8,36.4,Siang,846.0
DT0273,2025-12-30,M07,8.5,Kerusakan Elektrikal,64.6,87.0,Malam,
DT0274,2026-01-14,M09,6.3,Kekurangan Bahan Baku,56.7,67.4,Malam,1094.0
DT0275,2025-09-03,M08,10.4,Kerusakan Mekanis,71.1,86.8,Malam,1584.0
DT0276,2025-08-06,M07,8.1,Kerusakan Mekanis,63.2,73.1,Pagi,
DT0277,2025-09-29,M03,3.1,Pergantian Alat (Tooling Change),45.5,51.6,Pagi,
DT0278,2025-08-19,M07,8.5,Kerusakan Mekanis,64.6,72.4,Malam,1366.0
DT0279,2025-08-06,M06,13.1,Pergantian Alat (Tooling Change),80.5,58.5,Malam,720.0
DT0280,2025-12-26,M05,7.3,Kerusakan Mekanis,60.1,53.7,Pagi,1877.0
DT0281,2025-08-14,M05,7.6,Kerusakan Mekanis,61.3,85.0,Siang,794.0
DT0282,2025-08-13,M02,8.4,Kekurangan Bahan Baku,64.2,77.9,Pagi,1201.0
DT0283,2025-10-05,M09,6.5,Kerusakan Mekanis,57.5,94.5,Pagi,1450.0
DT0284,2025-11-12,M09,5.7,Kekurangan Bahan Baku,54.8,66.1,Siang,1184.0
