InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537245,10008,JUMBO BAG RED RETROSPOT,4,02/24/2020 00:00,4.15,14288.0,France
537856,10009,PARTY BUNTING,9,02/18/2020 03:00,1.9,14197.0,France
536720,10016,VINTAGE SNAKES AND LADDERS,13,01/10/2020 07:00,1.75,12799.0,United Kingdom
537233,10002,RED WOOLLY HOTTIE MUG,2,11/21/2019 22:00,6.94,18137.0,Belgium
536608,10010,LUNCH BAG WOODLAND,4,02/02/2020 19:00,8.67,17846.0,Netherlands
537652,10007,REGENCY CAKESTAND 3 TIER,1,11/18/2019 04:00,7.27,17517.0,United Kingdom
537256,10017,WOODEN FRAME ANTIQUE WHITE,12,12/16/2019 06:00,2.08,14217.0,France
536984,10004,VINTAGE UNION JACK BUNTING,32,12/10/2019 14:00,0.29,18268.0,United Kingdom
536790,10004,VINTAGE UNION JACK BUNTING,4,11/02/2019 11:00,2.12,13982.0,United Kingdom
537423,10001,WOODEN PICTURE FRAME,1,02/05/2020 20:00,1.15,17244.0,United Kingdom
537620,10008,JUMBO BAG RED RETROSPOT,7,01/01/2020 04:00,2.16,,United Kingdom
538128,10000,WHITE HANGING HEART T-LIGHT HOLDER,2,12/08/2019 23:00,1.26,,United Kingdom
537184,10010,LUNCH BAG WOODLAND,2,12/31/2019 21:00,2.41,15776.0,France
536666,10004,VINTAGE UNION JACK BUNTING,8,11/01/2019 00:00,0.87,18095.0,United Kingdom
537926,10008,JUMBO BAG RED RETROSPOT,5,12/23/2019 10:00,0.68,13924.0,France
537545,10012,ROUND SNACK BOXES SET OF 4,2,01/02/2020 08:00,8.35,14914.0,Netherlands
537677,10013,SPACEBOY LUNCH BOX,2,12/11/2019 18:00,0.93,17353.0,United Kingdom
536547,10001,WOODEN PICTURE FRAME,5,02/08/2020 16:00,2.46,15151.0,United Kingdom
536950,10002,RED WOOLLY HOTTIE MUG,3,11/30/2019 23:00,6.39,16402.0,United Kingdom
537804,10006,PACK OF 72 RETRO SPOT CAKE CASES,1,11/17/2019 13:00,6.14,14831.0,United Kingdom
537925,10010,LUNCH BAG WOODLAND,3,01/03/2020 07:00,5.45,12369.0,United Kingdom
537181,10017,WOODEN FRAME ANTIQUE WHITE,6,02/15/2020 12:00,3.33,14027.0,United Kingdom
537873,10002,RED WOOLLY HOTTIE MUG,3,12/16/2019 01:00,5.07,15706.0,United Kingdom
537943,10001,WOODEN PICTURE FRAME,1,11/06/2019 14:00,9.71,12461.0,United Kingdom
537091,10012,ROUND SNACK BOXES SET OF 4,11,02/25/2020 10:00,3.76,13723.0,United Kingdom
538048,10019,HAND WARMER OWL DESIGN,1,12/24/2019 08:00,0.39,18008.0,United Kingdom
536905,10016,VINTAGE SNAKES AND LADDERS,3,11/21/2019 18:00,1.45,12437.0,United Kingdom
536814,10011,RECIPE BOX PANTRY DESIGN,2,01/13/2020 21:00,4.94,,Belgium
537644,10000,WHITE HANGING HEART T-LIGHT HOLDER,5,12/09/2019 08:00,1.31,16025.0,United Kingdom
537558,10011,RECIPE BOX PANTRY DESIGN,7,02/21/2020 13:00,12.43,15691.0,Belgium
536627,10009,PARTY BUNTING,13,12/06/2019 06:00,2.31,13563.0,United Kingdom
537926,10008,JUMBO BAG RED RETROSPOT,2,01/06/2020 00:00,2.68,12700.0,Portugal
536739,10009,PARTY BUNTING,7,01/05/2020 05:00,7.57,17690.0,United Kingdom
537874,10011,RECIPE BOX PANTRY DESIGN,5,11/30/2019 02:00,2.05,15618.0,Germany
536378,10014,STRAWBERRY CERAMIC TRINKET BOX,1,12/30/2019 22:00,2.93,,United Kingdom
537859,10003,GLASS JAR CANDLE,27,11/14/2019 02:00,6.04,,United Kingdom
537840,10001,WOODEN PICTURE FRAME,1,01/17/2020 06:00,0.56,13588.0,United Kingdom
537828,10001,WOODEN PICTURE FRAME,6,01/31/2020 00:00,1.85,,Netherlands
537611,10008,JUMBO BAG RED RETROSPOT,6,02/23/2020 00:00,5.64,18162.0,France
537249,10010,LUNCH BAG WOODLAND,5,12/10/2019 02:00,2.63,16919.0,Spain
537687,10015,TRAVEL SEWING KIT,2,12/05/2019 05:00,10.67,15592.0,Netherlands
536884,10008,JUMBO BAG RED RETROSPOT,9,01/05/2020 21:00,0.51,,Germany
537828,10010,LUNCH BAG WOODLAND,1,01/23/2020 03:00,0.45,13329.0,United Kingdom
537406,10019,HAND WARMER OWL DESIGN,4,02/28/2020 03:00,5.31,,United Kingdom
537225,10014,STRAWBERRY CERAMIC TRINKET BOX,2,11/04/2019 00:00,5.85,15418.0,EIRE
537313,10013,SPACEBOY LUNCH BOX,2,11/29/2019 14:00,2.03,,United Kingdom
537431,10007,REGENCY CAKESTAND 3 TIER,6,12/02/2019 11:00,3.67,,Netherlands
536434,10003,GLASS JAR CANDLE,12,12/01/2019 15:00,5.18,12915.0,France
536627,10018,ALARM CLOCK BAKELIKE RED,3,12/26/2019 15:00,1.09,14866.0,United Kingdom
536825,10011,RECIPE BOX PANTRY DESIGN,9,02/13/2020 18:00,1.21,,United Kingdom
536579,10001,WOODEN PICTURE FRAME,4,11/04/2019 17:00,2.97,,Portugal
537189,10009,PARTY BUNTING,2,02/06/2020 22:00,6.07,13933.0,United Kingdom
537618,10001,WOODEN PICTURE FRAME,3,01/14/2020 03:00,0.77,,United Kingdom
537592,10019,HAND WARMER OWL DESIGN,3,01/13/2020 20:00,2.02,16516.0,United Kingdom
537248,10010,LUNCH BAG WOODLAND,2,01/21/2020 10:00,1.93,14010.0,United Kingdom
537968,10015,TRAVEL SEWING KIT,6,11/14/2019 20:00,3.74,12650.0,United Kingdom
537424,10009,PARTY BUNTING,5,01/29/2020 15:00,2.44,13307.0,EIRE
536513,10000,WHITE HANGING HEART T-LIGHT HOLDER,1,11/30/2019 18:00,1.42,,Spain
537799,10012,ROUND SNACK BOXES SET OF 4,1,01/02/2020 00:00,8.57,,United Kingdom
537442,10013,SPACEBOY LUNCH BOX,6,01/21/2020 06:00,1.43,,United Kingdom
537555,10004,VINTAGE UNION JACK BUNTING,2,01/12/2020 11:00,1.84,17658.0,United Kingdom
537425,10014,STRAWBERRY CERAMIC TRINKET BOX,5,12/09/2019 18:00,0.5,13303.0,Netherlands
537402,10004,VINTAGE UNION JACK BUNTING,9,12/18/2019 13:00,1.2,16716.0,United Kingdom
536534,10013,SPACEBOY LUNCH BOX,1,12/28/2019 04:00,4.12,12882.0,United Kingdom
537413,10014,STRAWBERRY CERAMIC TRINKET BOX,1,11/05/2019 22:00,3.39,,United Kingdom
537855,10002,RED WOOLLY HOTTIE MUG,22,01/27/2020 03:00,4.48,17058.0,Spain
536934,10005,SET OF 3 CAKE TINS,6,11/12/2019 23:00,4.27,14727.0,United Kingdom
537495,10003,GLASS JAR CANDLE,3,12/26/2019 01:00,19.84,18273.0,Belgium
536422,10014,STRAWBERRY CERAMIC TRINKET BOX,2,01/18/2020 15:00,1.16,12377.0,United Kingdom
537016,10004,VINTAGE UNION JACK BUNTING,2,11/10/2019 15:00,0.49,,United Kingdom
537183,10012,ROUND SNACK BOXES SET OF 4,1,02/28/2020 12:00,0.86,14175.0,Portugal
538207,10008,JUMBO BAG RED RETROSPOT,10,12/16/2019 06:00,1.22,18200.0,United Kingdom
536767,10001,WOODEN PICTURE FRAME,2,11/02/2019 21:00,0.93,16322.0,United Kingdom
536883,10017,WOODEN FRAME ANTIQUE WHITE,12,01/19/2020 01:00,2.7,,Germany
537130,10014,STRAWBERRY CERAMIC TRINKET BOX,3,01/06/2020 22:00,8.61,14070.0,France
538226,10005,SET OF 3 CAKE TINS,1,01/16/2020 20:00,11.47,,Netherlands
537965,10017,WOODEN FRAME ANTIQUE WHITE,3,01/30/2020 03:00,4.07,17339.0,United Kingdom
536430,10014,STRAWBERRY CERAMIC TRINKET BOX,1,12/28/2019 02:00,20.93,17003.0,France
536803,10016,VINTAGE SNAKES AND LADDERS,4,02/08/2020 05:00,1.72,,United Kingdom
537905,10003,GLASS JAR CANDLE,3,12/15/2019 10:00,0.48,17823.0,United Kingdom
536474,10000,WHITE HANGING HEART T-LIGHT HOLDER,9,01/05/2020 10:00,7.05,16321.0,Netherlands
537969,10001,WOODEN PICTURE FRAME,1,11/20/2019 00:00,0.39,12736.0,Netherlands
536892,10010,LUNCH BAG WOODLAND,13,01/14/2020 09:00,1.16,,United Kingdom
538085,10015,TRAVEL SEWING KIT,9,12/02/2019 09:00,4.14,12470.0,United Kingdom
536915,10018,ALARM CLOCK BAKELIKE RED,14,01/23/2020 15:00,2.22,16402.0,United Kingdom
537179,10019,HAND WARMER OWL DESIGN,4,02/05/2020 03:00,2.03,13830.0,United Kingdom
537606,10011,RECIPE BOX PANTRY DESIGN,11,02/12/2020 02:00,0.76,,EIRE
536601,10012,ROUND SNACK BOXES SET OF 4,1,02/20/2020 12:00,2.43,16681.0,United Kingdom
537409,10005,SET OF 3 CAKE TINS,8,11/15/2019 16:00,6.71,17146.0,United Kingdom
537311,10000,WHITE HANGING HEART T-LIGHT HOLDER,2,11/17/2019 13:00,2.51,16503.0,United Kingdom
537834,10003,GLASS JAR CANDLE,1,02/20/2020 04:00,1.07,15714.0,United Kingdom
538232,10001,WOODEN PICTURE FRAME,1,12/16/2019 17:00,0.71,17477.0,United Kingdom
537610,10013,SPACEBOY LUNCH BOX,4,11/04/2019 02:00,1.09,14111.0,Switzerland
537132,10010,LUNCH BAG WOODLAND,2,12/05/2019 10:00,3.64,15485.0,United Kingdom
537126,10015,TRAVEL SEWING KIT,6,02/09/2020 09:00,3.47,14117.0,United Kingdom
537148,10002,RED WOOLLY HOTTIE MUG,1,12/13/2019 14:00,1.1,13021.0,United Kingdom
537891,10018,ALARM CLOCK BAKELIKE RED,1,11/10/2019 05:00,0.27,17546.0,United Kingdom
536967,10014,STRAWBERRY CERAMIC TRINKET BOX,16,01/26/2020 16:00,3.74,15298.0,United Kingdom
536678,10018,ALARM CLOCK BAKELIKE RED,10,11/24/2019 08:00,1.0,12666.0,United Kingdom
536991,10012,ROUND SNACK BOXES SET OF 4,1,12/13/2019 08:00,4.9,,United Kingdom
536407,10006,PACK OF 72 RETRO SPOT CAKE CASES,4,11/01/2019 11:00,1.15,17939.0,United Kingdom
536564,10012,ROUND SNACK BOXES SET OF 4,11,01/12/2020 06:00,0.92,16277.0,United Kingdom
536533,10012,ROUND SNACK BOXES SET OF 4,6,12/24/2019 10:00,2.87,,United Kingdom
537811,10003,GLASS JAR CANDLE,5,02/13/2020 01:00,25.99,17451.0,United Kingdom
537719,10002,RED WOOLLY HOTTIE MUG,12,12/11/2019 03:00,5.2,16735.0,United Kingdom
537671,10013,SPACEBOY LUNCH BOX,2,11/25/2019 13:00,2.82,14038.0,Netherlands
537231,10001,WOODEN PICTURE FRAME,4,11/20/2019 22:00,3.52,14306.0,United Kingdom
537709,10002,RED WOOLLY HOTTIE MUG,4,11/25/2019 00:00,0.43,18214.0,United Kingdom
536667,10001,WOODEN PICTURE FRAME,3,12/25/2019 03:00,0.8,18009.0,Spain
538053,10012,ROUND SNACK BOXES SET OF 4,3,11/11/2019 11:00,0.25,16364.0,United Kingdom
537304,10018,ALARM CLOCK BAKELIKE RED,4,12/19/2019 07:00,13.87,12562.0,France
538123,10009,PARTY BUNTING,4,02/11/2020 14:00,11.33,13710.0,United Kingdom
536650,10003,GLASS JAR CANDLE,1,02/01/2020 03:00,3.64,14445.0,United Kingdom
537297,10010,LUNCH BAG WOODLAND,9,01/16/2020 11:00,2.82,15529.0,EIRE
537670,10009,PARTY BUNTING,2,02/16/2020 05:00,0.52,17499.0,United Kingdom
537294,10011,RECIPE BOX PANTRY DESIGN,3,02/02/2020 15:00,1.98,,United Kingdom
537201,10008,JUMBO BAG RED RETROSPOT,3,01/18/2020 08:00,14.77,,United Kingdom
536676,10010,LUNCH BAG WOODLAND,6,02/12/2020 14:00,2.81,,United Kingdom
537079,10006,PACK OF 72 RETRO SPOT CAKE CASES,1,11/15/2019 22:00,1.4,13983.0,Germany
536812,10018,ALARM CLOCK BAKELIKE RED,10,02/07/2020 05:00,0.42,,EIRE
536930,10010,LUNCH BAG WOODLAND,2,12/06/2019 11:00,9.78,17685.0,United Kingdom
537646,10006,PACK OF 72 RETRO SPOT CAKE CASES,14,01/27/2020 23:00,2.29,,United Kingdom
537546,10000,WHITE HANGING HEART T-LIGHT HOLDER,3,02/18/2020 15:00,0.42,17280.0,EIRE
537503,10013,SPACEBOY LUNCH BOX,4,12/30/2019 13:00,0.98,16248.0,United Kingdom
537043,10007,REGENCY CAKESTAND 3 TIER,27,11/11/2019 15:00,0.69,,United Kingdom
538164,10004,VINTAGE UNION JACK BUNTING,3,12/15/2019 10:00,2.16,16416.0,Germany
536529,10009,PARTY BUNTING,14,12/19/2019 20:00,3.03,15792.0,Belgium
537007,10009,PARTY BUNTING,4,02/21/2020 10:00,1.49,12368.0,United Kingdom
536586,10016,VINTAGE SNAKES AND LADDERS,6,02/22/2020 03:00,5.35,13673.0,Switzerland
537000,10010,LUNCH BAG WOODLAND,4,01/08/2020 05:00,2.66,14413.0,Germany
538168,10014,STRAWBERRY CERAMIC TRINKET BOX,9,02/23/2020 02:00,7.12,13624.0,United Kingdom
537051,10012,ROUND SNACK BOXES SET OF 4,2,12/23/2019 08:00,1.72,15784.0,Spain
538068,10016,VINTAGE SNAKES AND LADDERS,2,12/20/2019 08:00,51.69,16002.0,United Kingdom
537293,10000,WHITE HANGING HEART T-LIGHT HOLDER,2,02/09/2020 09:00,1.4,13354.0,United Kingdom
537676,10007,REGENCY CAKESTAND 3 TIER,4,01/20/2020 02:00,1.0,13081.0,United Kingdom
537222,10014,STRAWBERRY CERAMIC TRINKET BOX,3,01/02/2020 16:00,0.88,16239.0,United Kingdom
536863,10002,RED WOOLLY HOTTIE MUG,8,12/25/2019 19:00,1.99,15136.0,United Kingdom
537797,10008,JUMBO BAG RED RETROSPOT,15,01/24/2020 16:00,0.44,,United Kingdom
538182,10008,JUMBO BAG RED RETROSPOT,2,01/30/2020 10:00,3.3,,EIRE
536859,10016,VINTAGE SNAKES AND LADDERS,2,12/29/2019 21:00,0.37,,United Kingdom
537825,10019,HAND WARMER OWL DESIGN,1,11/04/2019 18:00,2.89,17419.0,United Kingdom
536854,10002,RED WOOLLY HOTTIE MUG,31,11/13/2019 05:00,0.64,17346.0,United Kingdom
537709,10004,VINTAGE UNION JACK BUNTING,5,11/18/2019 07:00,1.68,15640.0,United Kingdom
537844,10015,TRAVEL SEWING KIT,7,12/26/2019 11:00,4.5,14421.0,United Kingdom
537207,10003,GLASS JAR CANDLE,1,01/13/2020 17:00,24.63,13623.0,Belgium
537746,10009,PARTY BUNTING,4,02/05/2020 11:00,0.84,14172.0,United Kingdom
536875,10018,ALARM CLOCK BAKELIKE RED,7,11/28/2019 21:00,2.12,,Australia
536513,10019,HAND WARMER OWL DESIGN,3,02/03/2020 10:00,1.19,12873.0,United Kingdom
536545,10018,ALARM CLOCK BAKELIKE RED,12,01/19/2020 22:00,1.03,,United Kingdom
537203,10002,RED WOOLLY HOTTIE MUG,41,11/07/2019 04:00,1.2,14155.0,United Kingdom
538057,10002,RED WOOLLY HOTTIE MUG,2,12/13/2019 03:00,5.61,13922.0,Portugal
536604,10003,GLASS JAR CANDLE,1,12/07/2019 07:00,1.51,17156.0,United Kingdom
537219,10015,TRAVEL SEWING KIT,2,02/15/2020 10:00,23.32,,United Kingdom
537685,10003,GLASS JAR CANDLE,20,02/19/2020 13:00,3.73,18236.0,United Kingdom
536744,10008,JUMBO BAG RED RETROSPOT,12,02/07/2020 08:00,0.9,13936.0,United Kingdom
537718,10016,VINTAGE SNAKES AND LADDERS,4,01/03/2020 09:00,1.7,15857.0,United Kingdom
536938,10009,PARTY BUNTING,4,12/30/2019 03:00,1.1,,United Kingdom
537881,10018,ALARM CLOCK BAKELIKE RED,2,12/08/2019 09:00,5.47,13495.0,United Kingdom
537451,10009,PARTY BUNTING,10,02/01/2020 18:00,0.48,14639.0,United Kingdom
537390,10007,REGENCY CAKESTAND 3 TIER,3,11/11/2019 08:00,0.64,12716.0,United Kingdom
536696,10019,HAND WARMER OWL DESIGN,3,12/03/2019 13:00,1.36,13325.0,United Kingdom
537233,10010,LUNCH BAG WOODLAND,7,11/17/2019 05:00,4.87,,United Kingdom
537971,10003,GLASS JAR CANDLE,3,12/30/2019 07:00,8.44,16427.0,United Kingdom
536401,10012,ROUND SNACK BOXES SET OF 4,3,12/06/2019 23:00,9.78,13952.0,United Kingdom
537787,10015,TRAVEL SEWING KIT,4,11/24/2019 16:00,4.18,15657.0,United Kingdom
537288,10016,VINTAGE SNAKES AND LADDERS,9,12/16/2019 04:00,2.26,16887.0,United Kingdom
537713,10000,WHITE HANGING HEART T-LIGHT HOLDER,21,02/12/2020 08:00,5.44,17660.0,Netherlands
537608,10002,RED WOOLLY HOTTIE MUG,7,01/06/2020 23:00,0.78,,United Kingdom
537175,10012,ROUND SNACK BOXES SET OF 4,9,02/07/2020 19:00,0.39,13777.0,United Kingdom
536943,10014,STRAWBERRY CERAMIC TRINKET BOX,3,02/18/2020 16:00,3.81,16579.0,United Kingdom
537541,10013,SPACEBOY LUNCH BOX,2,02/17/2020 07:00,0.9,,Germany
536627,10007,REGENCY CAKESTAND 3 TIER,8,12/13/2019 03:00,2.3,13172.0,Belgium
537460,10015,TRAVEL SEWING KIT,5,02/14/2020 08:00,2.77,14476.0,United Kingdom
536542,10011,RECIPE BOX PANTRY DESIGN,1,02/18/2020 03:00,3.15,14299.0,United Kingdom
537583,10018,ALARM CLOCK BAKELIKE RED,3,02/24/2020 04:00,6.28,13214.0,United Kingdom
537543,10007,REGENCY CAKESTAND 3 TIER,4,12/13/2019 03:00,5.65,12657.0,Belgium
536523,10015,TRAVEL SEWING KIT,2,11/28/2019 09:00,2.99,17967.0,United Kingdom
537785,10002,RED WOOLLY HOTTIE MUG,18,01/10/2020 03:00,1.58,,United Kingdom
537144,10014,STRAWBERRY CERAMIC TRINKET BOX,7,02/20/2020 20:00,2.74,16608.0,United Kingdom
537840,10014,STRAWBERRY CERAMIC TRINKET BOX,16,02/17/2020 02:00,1.35,12739.0,United Kingdom
536443,10005,SET OF 3 CAKE TINS,5,01/08/2020 13:00,2.02,17076.0,United Kingdom
536701,10001,WOODEN PICTURE FRAME,4,11/18/2019 21:00,33.72,14511.0,United Kingdom
537291,10019,HAND WARMER OWL DESIGN,2,12/21/2019 17:00,2.95,16790.0,Belgium
536717,10001,WOODEN PICTURE FRAME,4,01/25/2020 17:00,7963.05,15259.0,United Kingdom
536983,10009,PARTY BUNTING,4,01/07/2020 06:00,1.21,13788.0,United Kingdom
537603,10000,WHITE HANGING HEART T-LIGHT HOLDER,1,12/12/2019 11:00,6.82,13903.0,Belgium
536635,10008,JUMBO BAG RED RETROSPOT,2,12/12/2019 03:00,5.26,,United Kingdom
537635,10016,VINTAGE SNAKES AND LADDERS,3,11/08/2019 04:00,5.3,17275.0,United Kingdom
536558,10010,LUNCH BAG WOODLAND,6,12/05/2019 15:00,3.05,14897.0,EIRE
536693,10004,VINTAGE UNION JACK BUNTING,6,01/20/2020 08:00,6.92,16980.0,United Kingdom
537466,10007,REGENCY CAKESTAND 3 TIER,2,11/29/2019 23:00,8.77,17271.0,Netherlands
537852,10001,WOODEN PICTURE FRAME,6,02/28/2020 05:00,3.26,13338.0,United Kingdom
536684,10011,RECIPE BOX PANTRY DESIGN,3,11/10/2019 21:00,2.19,14309.0,United Kingdom
536927,10000,WHITE HANGING HEART T-LIGHT HOLDER,1,01/10/2020 16:00,6.02,13083.0,United Kingdom
538099,10006,PACK OF 72 RETRO SPOT CAKE CASES,2,12/30/2019 14:00,1.0,,Belgium
538220,10001,WOODEN PICTURE FRAME,12,02/09/2020 00:00,1.2,18206.0,United Kingdom
537454,10004,VINTAGE UNION JACK BUNTING,1,02/15/2020 13:00,2.33,,United Kingdom
537203,10001,WOODEN PICTURE FRAME,5,01/05/2020 05:00,0.43,15029.0,EIRE
537015,10018,ALARM CLOCK BAKELIKE RED,20,01/15/2020 15:00,5.63,13534.0,United Kingdom
537513,10015,TRAVEL SEWING KIT,2,01/23/2020 21:00,0.94,15856.0,United Kingdom
537472,10018,ALARM CLOCK BAKELIKE RED,4,01/02/2020 12:00,1.53,15570.0,France
536917,10013,SPACEBOY LUNCH BOX,1,11/23/2019 04:00,1.99,13670.0,United Kingdom
536407,10009,PARTY BUNTING,21,12/22/2019 10:00,2.56,12434.0,United Kingdom
536649,10003,GLASS JAR CANDLE,4,11/29/2019 23:00,1.74,,EIRE
538162,10019,HAND WARMER OWL DESIGN,4,12/26/2019 17:00,2.3,,France
