ID_Unit,Tegangan_Output_Volt,Arus_Output_Ampere,Suhu_Komponen_Celcius,Waktu_Uji_Detik,Line_Perakitan,Status_Akhir
U00080,11.946,1.961,57.8,19.6,L2,Lolos
U00081,11.639,2.59,33.5,21.0,L2,Lolos
U00082,11.871,1.865,41.1,21.2,L2,Lolos
U00083,12.323,2.262,37.9,14.5,L2,Lolos
U00084,12.521,2.252,50.1,19.8,L1,Lolos
U00085,12.684,1.951,38.4,22.6,L1,Lolos
U00086,12.184,2.03,51.7,25.6,L3,Lolos
U00087,12.088,,49.8,19.4,L2,Lolos
U00088,12.157,1.814,46.7,21.0,L1,Lolos
U00089,12.675,1.792,45.0,15.0,L2,Lolos
U00090,12.182,1.898,39.3,14.6,L2,Lolos
U00091,12.031,1.715,49.3,21.0,L1,Lolos
U00092,11.904,1.875,42.6,11.9,L1,Lolos
U00093,10.959,2.449,58.5,18.5,L3,Gagal
U00094,12.135,2.04,54.6,22.3,L2,Lolos
U00095,11.737,2.111,43.8,20.1,L2,Lolos
U00096,11.781,1.951,53.5,20.1,L1,Lolos
U00097,11.978,1.808,46.8,17.9,L1,Lolos
U00098,11.842,2.106,49.2,16.8,L2,Lolos
U00099,12.209,2.198,37.7,24.5,L1,Lolos
U00100,12.236,1.879,41.5,21.7,L1,Lolos
U00101,12.092,1.754,41.4,20.5,L1,Lolos
U00102,12.171,1.888,53.7,18.1,L3,Lolos
U00103,10.405,2.316,53.8,16.2,L3,Gagal
U00104,10.174,2.633,54.8,21.2,L1,Gagal
U00105,11.693,2.173,45.2,17.1,L1,Lolos
U00106,12.248,1.999,43.5,18.2,L3,Lolos
U00107,10.506,2.639,43.3,19.8,L2,Gagal
U00108,12.299,1.991,34.2,18.6,L3,Lolos
U00109,12.319,2.353,43.6,22.6,L3,Lolos
U00110,11.907,2.305,43.9,14.0,L3,Lolos
U00111,11.793,2.288,40.3,18.2,L1,Lolos
U00112,12.003,2.08,46.5,24.4,L2,Lolos
U00113,11.985,2.029,57.4,20.7,L2,Lolos
U00114,12.219,2.001,54.6,17.4,L3,Lolos
U00115,11.181,2.213,45.5,20.4,L2,Lolos
U00116,11.743,1.803,45.7,17.9,L3,Lolos
U00117,11.646,,49.2,22.4,L3,Lolos
U00118,11.119,2.417,46.8,20.5,L3,Lolos
U00119,11.827,2.156,49.2,15.4,L2,Lolos
U00120,11.475,2.239,47.0,18.7,L2,Lolos
U00121,11.864,1.695,45.9,19.3,L1,Lolos
U00122,11.829,1.892,41.4,19.4,L3,Lolos
U00123,12.159,2.083,47.5,19.0,L1,Lolos
U00124,11.912,,31.7,19.7,L1,Lolos
U00125,11.408,1.694,46.9,19.3,L2,Lolos
U00126,12.121,2.19,32.9,15.8,L2,Lolos
U00127,12.847,2.269,46.9,16.6,L2,Lolos
U00128,12.376,1.929,39.4,17.2,L1,Lolos
U00129,12.238,2.199,53.0,18.3,L3,Lolos
U00130,11.932,2.507,45.8,17.2,L3,Lolos
U00131,11.828,2.381,45.3,21.3,L1,Lolos
U00132,11.804,1.94,47.7,15.1,L2,Lolos
U00133,12.084,1.724,40.1,12.8,L1,Lolos
U00134,11.602,2.058,52.0,23.9,L3,Lolos
U00135,10.869,3.049,58.4,15.5,L2,Gagal
U00136,11.768,2.335,42.0,21.3,L2,Lolos
U00137,11.4,1.998,38.9,19.8,L1,Lolos
U00138,11.763,2.391,42.8,15.7,L3,Lolos
U00139,12.438,2.292,44.4,17.6,L2,Lolos
U00140,12.048,1.525,38.5,17.2,L3,Lolos
U00141,10.757,2.265,42.3,19.1,L1,Lolos
U00142,11.764,2.03,41.5,15.7,L1,Lolos
U00143,12.316,1.783,43.8,17.5,L3,Lolos
U00144,11.896,2.023,43.8,17.9,L1,Lolos
U00145,12.183,2.104,47.9,21.3,L1,Lolos
U00146,11.862,1.801,45.2,16.8,L1,Lolos
U00147,12.064,1.97,47.4,15.1,L2,Lolos
U00148,12.012,,46.5,16.4,L1,Lolos
U00149,11.774,2.199,43.8,19.1,L2,Lolos
U00150,12.2,1.925,49.1,12.7,L3,Lolos
U00151,12.536,1.575,28.5,21.6,L1,Lolos
U00152,12.135,1.888,42.8,18.1,L1,Lolos
U00153,12.036,,41.6,19.3,L2,Lolos
U00154,11.705,1.676,45.7,18.7,L2,Lolos
U00155,,2.295,41.2,16.0,L2,Lolos
U00156,11.821,2.201,48.3,14.8,L2,Lolos
U00157,,2.24,57.0,15.9,L3,Gagal
U00158,12.267,1.683,36.7,13.5,L3,Lolos
U00159,12.346,1.974,46.3,19.0,L2,Lolos
U00160,12.352,1.669,37.3,17.5,L3,Lolos
U00161,12.339,1.939,47.9,13.4,L2,Lolos
U00162,11.56,2.018,42.2,16.2,L1,Lolos
U00163,11.699,2.076,40.2,20.0,L2,Lolos
U00164,11.52,2.085,34.7,21.9,L3,Lolos
U00165,11.496,1.805,44.4,14.1,L2,Lolos
U00166,12.534,2.018,38.1,24.5,L2,Lolos
U00167,11.655,,36.1,15.1,L3,Lolos
U00168,11.606,1.476,46.1,12.9,L3,Lolos
U00169,11.98,2.081,50.8,23.3,L1,Lolos
U00170,11.739,1.705,47.4,14.9,L1,Lolos
U00171,12.792,2.351,36.4,22.6,L2,Lolos
U00172,11.904,2.204,44.2,16.0,L1,Lolos
U00173,12.156,2.196,49.1,17.1,L3,Lolos
U00174,11.727,1.787,44.2,14.1,L3,Lolos
U00175,11.418,2.066,47.0,21.8,L2,Lolos
U00176,11.745,2.094,42.4,21.4,L2,Lolos
U00177,10.757,,47.9,16.0,L2,Gagal
U00178,11.746,2.037,41.0,17.8,L1,Lolos
U00179,11.44,2.153,48.7,20.0,L3,Lolos
U00180,12.048,1.646,49.1,16.6,L2,Lolos
U00181,10.934,2.524,52.5,22.1,L2,Gagal
U00182,11.46,2.025,49.5,17.7,L2,Lolos
U00183,12.037,2.345,36.4,16.4,L2,Lolos
U00184,12.267,1.897,44.0,13.3,L3,Lolos
U00185,,,36.9,14.1,L1,Lolos
U00186,11.153,2.085,38.2,19.8,L1,Lolos
U00187,11.744,1.298,36.8,18.7,L1,Lolos
U00188,11.52,1.911,41.1,20.4,L2,Lolos
U00189,11.772,2.022,48.7,16.3,L1,Lolos
U00190,11.971,1.849,52.1,13.1,L3,Gagal
U00191,11.745,2.169,41.5,16.5,L3,Lolos
U00192,11.834,2.021,44.0,24.1,L3,Lolos
U00193,11.277,2.703,42.1,15.1,L2,Gagal
U00194,12.569,2.18,48.4,17.9,L2,Lolos
U00195,11.195,1.897,31.5,10.8,L3,Lolos
U00196,11.805,2.011,40.8,16.4,L3,Lolos
U00197,11.697,2.216,44.5,16.8,L1,Lolos
U00198,11.398,2.014,47.7,19.0,L1,Lolos
U00199,12.386,1.539,46.4,17.0,L1,Lolos
U00200,11.369,2.013,44.7,13.4,L2,Lolos
U00201,11.839,2.016,53.7,16.0,L2,Lolos
U00202,11.972,,57.1,17.4,L1,Lolos
U00203,11.737,1.914,45.0,15.0,L1,Lolos
U00204,11.393,1.756,44.4,15.4,L2,Lolos
U00205,11.941,1.756,44.0,21.0,L2,Lolos
U00206,10.73,2.769,50.5,16.1,L3,Gagal
U00207,12.283,2.072,47.3,19.3,L1,Lolos
U00208,,2.348,52.6,17.5,L3,Lolos
U00209,12.68,2.384,30.1,14.3,L1,Lolos
U00210,12.038,1.814,44.0,17.0,L1,Lolos
U00211,12.206,1.795,53.9,18.9,L2,Lolos
U00212,10.735,2.318,59.3,23.2,L1,Gagal
U00213,12.599,2.154,47.5,15.7,L2,Lolos
U00214,12.004,1.65,35.4,17.7,L1,Lolos
U00215,11.964,2.114,49.2,20.7,L1,Lolos
U00216,12.189,2.101,51.1,21.8,L2,Lolos
U00217,11.774,1.719,46.2,16.1,L1,Lolos
U00218,11.825,1.727,41.1,17.5,L2,Lolos
U00219,12.189,2.111,47.7,21.3,L1,Lolos
U00220,12.256,2.518,38.8,19.5,L2,Lolos
U00221,12.209,1.926,38.0,21.1,L1,Lolos
U00222,11.972,2.082,49.8,21.5,L1,Lolos
U00223,12.095,1.849,51.6,19.7,L3,Lolos
U00224,12.336,2.059,40.5,18.4,L1,Lolos
U00225,11.617,1.844,38.0,16.0,L3,Lolos
U00226,12.0,1.935,39.7,17.3,L1,Lolos
U00227,10.981,2.612,46.2,17.5,L1,Lolos
U00228,12.259,2.027,38.0,21.6,L3,Lolos
U00229,11.726,1.609,52.7,18.5,L2,Lolos
U00230,11.735,2.161,42.2,18.6,L1,Lolos
U00231,11.957,2.282,47.2,15.0,L1,Lolos
U00232,12.217,2.169,40.5,21.6,L1,Lolos
U00233,12.837,1.956,48.5,15.7,L1,Lolos
U00234,11.456,1.771,49.0,17.1,L3,Lolos
U00235,11.703,1.777,34.9,21.9,L3,Lolos
U00236,12.08,1.953,40.9,20.7,L1,Lolos
U00237,11.746,1.908,44.1,15.5,L1,Lolos
U00238,12.293,1.86,41.8,14.8,L2,Lolos
U00239,11.941,2.304,50.2,17.4,L3,Lolos
U00240,12.31,2.23,41.4,16.3,L1,Lolos
U00241,11.913,2.317,49.3,13.6,L3,Lolos
U00242,12.191,1.803,47.9,15.7,L1,Lolos
U00243,11.665,1.77,44.4,9.8,L3,Lolos
U00244,12.678,2.019,49.5,20.7,L3,Lolos
U00245,11.405,2.104,35.8,20.5,L2,Lolos
U00246,11.752,2.018,44.6,22.2,L2,Lolos
U00247,11.503,2.087,40.4,19.1,L1,Lolos
U00248,11.329,2.723,54.4,16.7,L3,Gagal
U00249,12.189,1.945,42.2,21.1,L3,Lolos
U00250,11.574,2.202,45.4,15.9,L3,Lolos
U00251,12.349,2.129,45.1,14.0,L3,Lolos
U00252,11.756,2.024,45.8,17.6,L1,Lolos
U00253,12.136,2.19,46.1,19.2,L2,Lolos
U00254,12.218,1.808,48.4,15.6,L2,Lolos
U00255,11.914,1.758,37.4,14.9,L1,Lolos
U00256,12.318,2.108,48.1,16.7,L3,Lolos
U00257,10.692,1.926,42.3,19.2,L1,Gagal
U00258,12.119,2.128,28.2,17.6,L2,Lolos
U00259,,2.183,69.3,25.9,L1,Gagal
U00260,10.068,2.597,46.9,17.6,L3,Gagal
U00261,11.957,1.901,42.3,20.3,L1,Lolos
U00262,11.694,2.363,33.8,13.7,L2,Lolos
U00263,12.487,,42.3,19.8,L2,Lolos
U00264,11.523,1.937,46.2,16.6,L1,Lolos
U00265,12.429,2.216,46.5,18.0,L3,Lolos
U00266,,2.073,37.8,23.1,L1,Lolos
U00267,12.142,1.983,42.3,16.9,L2,Lolos
U00268,11.517,1.899,47.2,14.1,L1,Lolos
U00269,11.892,1.901,46.4,14.5,L2,Lolos
U00270,11.767,2.589,45.8,18.5,L1,Lolos
U00271,12.736,,49.6,18.4,L3,Lolos
U00272,11.759,1.699,44.3,18.2,L2,Lolos
U00273,12.404,2.294,53.4,14.1,L2,Lolos
U00274,12.409,2.275,43.2,24.1,L3,Lolos
U00275,12.399,1.769,49.2,22.4,L2,Lolos
U00276,11.792,1.562,49.4,18.4,L3,Lolos
U00277,12.632,2.318,35.2,13.4,L3,Lolos
U00278,12.704,,47.6,22.8,L1,Lolos
U00279,12.128,1.877,41.2,21.4,L1,Lolos
U00280,11.837,2.024,38.9,18.3,L3,Lolos
U00281,11.699,1.732,42.5,21.6,L3,Lolos
U00282,12.165,2.231,46.0,16.5,L1,Lolos
U00283,12.023,2.005,35.6,15.1,L1,Lolos
U00284,12.064,1.779,45.2,18.5,L1,Lolos
U00285,11.528,,43.7,13.3,L2,Lolos
U00286,12.012,,51.2,14.7,L2,Lolos
U00287,12.4,1.93,41.2,19.6,L2,Lolos
U00288,12.285,2.154,52.1,18.7,L1,Lolos
U00289,11.855,1.998,47.3,13.9,L2,Lolos
U00290,11.962,1.561,44.8,16.8,L3,Lolos
U00291,11.486,2.187,52.6,14.0,L2,Lolos
U00292,11.767,2.268,56.5,16.5,L2,Lolos
U00293,,2.461,43.7,16.2,L1,Lolos
U00294,12.222,1.525,40.6,21.0,L2,Lolos
U00295,11.753,1.21,47.6,17.5,L3,Lolos
U00296,11.637,2.16,36.5,17.3,L1,Lolos
U00297,12.265,1.85,37.2,16.8,L2,Lolos
U00298,11.852,,52.8,12.8,L1,Lolos
U00299,11.706,2.027,48.4,17.7,L2,Lolos
U00300,12.284,1.888,39.9,19.4,L3,Lolos
U00301,12.161,,63.8,18.7,L3,Lolos
U00302,11.927,1.979,36.7,20.1,L2,Lolos
U00303,11.877,2.142,48.7,20.2,L2,Lolos
U00304,12.133,,40.2,24.6,L3,Lolos
U00305,12.189,2.046,55.7,14.6,L3,Lolos
U00306,12.073,2.111,41.8,18.7,L2,Lolos
U00307,,,43.3,19.0,L1,Lolos
U00308,11.739,2.477,40.7,17.0,L2,Gagal
U00309,,2.06,57.5,16.1,L1,Lolos
U00310,11.94,1.906,41.3,19.5,L3,Lolos
U00311,11.664,1.793,47.9,19.2,L1,Lolos
U00312,11.623,,45.0,14.8,L1,Lolos
U00313,11.12,2.045,47.8,12.6,L3,Gagal
U00314,12.346,2.229,31.6,16.5,L1,Lolos
U00315,11.274,2.382,43.6,16.0,L3,Lolos
U00316,11.863,2.331,43.4,19.8,L3,Lolos
U00317,12.095,1.61,46.9,15.2,L3,Lolos
U00318,12.375,1.765,57.9,17.5,L2,Lolos
U00319,12.63,,48.9,12.9,L2,Lolos
U00320,11.91,2.325,50.2,13.3,L3,Lolos
U00321,12.69,1.758,43.2,15.7,L1,Lolos
U00322,12.159,2.046,37.1,17.2,L2,Lolos
U00323,12.285,1.717,43.3,15.5,L2,Lolos
U00324,11.627,2.069,40.6,18.4,L1,Lolos
U00325,12.159,1.839,44.7,12.9,L2,Lolos
U00326,12.315,2.046,42.0,17.4,L2,Lolos
U00327,11.759,1.697,34.9,17.4,L1,Lolos
U00328,11.088,1.592,52.6,13.7,L1,Lolos
U00329,12.052,2.775,44.2,18.7,L2,Lolos
U00330,11.925,2.017,43.0,11.5,L2,Lolos
U00331,12.47,2.534,38.4,15.9,L3,Lolos
U00332,11.812,2.377,42.1,20.4,L1,Lolos
U00333,11.753,,39.8,11.3,L1,Lolos
U00334,11.59,2.09,37.8,20.0,L2,Lolos
U00335,11.779,1.676,46.0,14.5,L3,Lolos
U00336,,1.926,42.2,16.2,L2,Lolos
U00337,11.445,1.529,49.5,22.2,L2,Lolos
U00338,11.533,1.606,42.8,16.1,L3,Lolos
U00339,11.981,1.786,45.7,22.8,L1,Lolos
U00340,12.691,1.864,45.5,17.1,L3,Lolos
U00341,12.26,2.01,47.3,17.7,L1,Lolos
U00342,12.543,1.741,40.0,20.5,L1,Lolos
U00343,11.865,2.037,50.4,19.6,L2,Lolos
U00344,11.513,2.284,37.9,18.5,L1,Lolos
U00345,11.843,2.068,45.3,16.6,L3,Lolos
U00346,,1.983,37.8,13.3,L3,Lolos
U00347,12.004,2.085,44.3,13.5,L2,Lolos
U00348,11.925,1.641,50.3,21.9,L3,Lolos
U00349,12.207,2.238,48.3,23.1,L1,Lolos
U00350,11.751,1.701,51.4,18.4,L2,Lolos
U00351,11.675,2.388,43.2,12.7,L1,Lolos
U00352,10.463,2.643,52.4,15.7,L2,Gagal
U00353,12.072,2.139,40.8,15.5,L3,Lolos
U00354,12.037,2.15,42.2,16.3,L3,Lolos
U00355,12.382,2.0,45.8,15.3,L2,Lolos
U00356,12.541,1.803,50.1,19.6,L3,Lolos
U00357,10.96,,48.9,18.7,L2,Gagal
U00358,12.008,2.438,49.2,22.7,L2,Lolos
U00359,11.928,2.026,46.4,16.8,L1,Lolos
U00360,11.462,1.721,47.0,18.6,L3,Lolos
U00361,11.815,2.129,39.9,20.2,L3,Lolos
U00362,12.548,2.086,42.7,21.1,L3,Lolos
U00363,11.779,1.918,44.4,14.3,L2,Lolos
U00364,11.72,1.775,47.0,19.2,L2,Lolos
U00365,11.982,2.184,40.2,18.4,L1,Lolos
U00366,10.926,,47.4,18.9,L2,Gagal
U00367,11.893,2.081,32.2,18.2,L2,Lolos
U00368,,2.018,49.5,23.1,L3,Lolos
U00369,11.2,1.804,50.7,15.3,L3,Lolos
U00370,12.2,2.12,32.9,15.1,L3,Lolos
U00371,12.077,1.841,45.5,15.5,L3,Lolos
U00372,,1.682,42.7,17.1,L1,Lolos
U00373,11.346,2.281,52.3,18.9,L3,Lolos
U00374,11.894,1.743,43.7,16.6,L1,Lolos
U00375,12.337,1.526,48.3,21.0,L2,Lolos
U00376,10.62,2.718,47.4,18.0,L3,Gagal
U00377,12.018,1.564,40.9,17.7,L2,Lolos
U00378,,1.903,49.6,14.0,L3,Lolos
U00379,11.135,2.135,65.6,23.5,L2,Gagal
U00380,11.563,2.109,39.7,17.9,L3,Gagal
U00381,11.502,2.556,51.9,22.9,L2,Lolos
U00382,11.982,1.975,39.2,16.1,L3,Lolos
U00383,11.608,2.271,37.7,20.5,L1,Gagal
U00384,12.328,2.198,45.1,16.3,L2,Lolos
U00385,11.957,1.838,48.0,23.5,L3,Lolos
U00386,12.339,2.269,35.9,21.4,L2,Lolos
U00387,11.981,2.094,33.1,20.5,L3,Lolos
U00388,12.042,2.188,42.0,15.8,L2,Lolos
U00389,10.037,2.206,45.8,23.7,L1,Gagal
U00390,12.229,,53.2,24.1,L2,Lolos
U00391,12.19,1.998,45.1,16.9,L1,Lolos
U00392,11.61,2.282,49.4,18.5,L2,Lolos
U00393,12.076,1.865,46.3,20.8,L1,Lolos
U00394,12.189,2.508,54.4,12.1,L3,Lolos
U00395,12.512,2.085,39.6,21.4,L2,Lolos
U00396,11.647,1.969,44.5,21.1,L3,Lolos
U00397,12.188,1.939,35.6,16.3,L2,Lolos
U00398,11.878,1.998,49.9,11.4,L3,Lolos
U00399,,1.843,51.7,19.0,L2,Lolos
U00400,11.624,2.167,50.2,14.6,L1,Lolos
U00401,11.995,1.997,44.3,13.2,L2,Lolos
U00402,11.539,2.846,47.8,19.1,L1,Gagal
U00403,11.66,1.892,44.5,22.0,L3,Lolos
U00404,12.507,1.97,40.9,17.3,L3,Lolos
U00405,10.342,2.38,61.5,21.6,L1,Gagal
U00406,10.82,,50.6,20.0,L1,Gagal
U00407,11.15,1.639,42.3,13.9,L3,Lolos
U00408,11.911,2.023,58.0,16.3,L3,Lolos
U00409,10.579,2.452,54.5,21.2,L3,Gagal
U00410,12.249,1.718,51.5,16.3,L2,Lolos
U00411,11.963,,41.9,20.5,L2,Lolos
U00412,11.915,1.767,38.4,16.8,L1,Lolos
U00413,,,51.4,20.2,L1,Lolos
U00414,12.333,2.421,54.0,19.3,L2,Lolos
U00415,12.483,1.906,37.3,17.3,L3,Lolos
U00416,11.548,2.036,41.9,20.1,L1,Lolos
U00417,11.93,1.914,39.5,11.5,L2,Lolos
U00418,11.232,1.987,47.9,14.7,L2,Lolos
U00419,11.521,2.27,51.5,16.6,L1,Lolos
U00420,11.754,1.895,42.8,21.5,L2,Lolos
U00421,11.18,1.729,48.2,13.7,L1,Gagal
U00422,11.568,2.428,43.0,17.9,L3,Gagal
U00423,11.899,2.016,39.3,19.0,L3,Lolos
U00424,11.593,2.541,61.0,18.7,L3,Gagal
U00425,11.765,1.954,48.0,17.7,L1,Lolos
U00426,11.302,1.784,50.6,16.1,L2,Lolos
U00427,11.739,1.939,42.8,17.3,L2,Lolos
U00428,11.711,2.648,50.7,20.9,L2,Gagal
U00429,12.164,1.989,45.1,15.9,L3,Lolos
U00430,11.928,2.163,46.9,11.5,L3,Lolos
U00431,12.158,,53.3,19.4,L2,Lolos
U00432,12.324,1.927,41.0,22.5,L2,Lolos
U00433,12.392,1.75,44.2,14.8,L2,Lolos
U00434,12.06,2.323,40.2,22.1,L2,Lolos
U00435,11.602,1.611,33.2,19.6,L2,Lolos
U00436,11.564,2.093,50.5,14.5,L3,Lolos
U00437,11.597,,55.5,15.9,L2,Lolos
U00438,10.678,2.524,58.4,15.8,L2,Gagal
U00439,12.035,1.414,46.4,18.5,L1,Lolos
U00440,11.803,,63.9,17.5,L1,Gagal
U00441,12.074,2.029,47.8,21.3,L1,Lolos
U00442,11.971,1.769,49.8,20.5,L2,Lolos
U00443,12.337,1.839,45.8,13.4,L1,Lolos
U00444,11.71,1.894,46.8,13.7,L2,Lolos
U00445,12.365,1.737,44.2,19.8,L2,Lolos
U00446,12.339,1.694,50.0,16.5,L3,Lolos
U00447,12.021,2.0,38.5,17.5,L1,Lolos
U00448,11.201,1.97,51.3,19.6,L2,Gagal
U00449,12.39,1.874,39.9,20.6,L2,Lolos
U00450,12.016,1.833,48.1,14.3,L3,Lolos
U00451,11.95,1.994,59.4,11.3,L1,Lolos
U00452,11.849,2.597,49.2,17.7,L2,Lolos
U00453,11.954,1.755,52.0,15.4,L2,Lolos
U00454,11.964,2.102,50.4,18.2,L1,Lolos
U00455,11.888,2.055,31.0,17.7,L1,Lolos
U00456,,2.14,44.2,15.1,L2,Lolos
U00457,11.583,1.947,47.7,24.3,L2,Lolos
U00458,11.801,2.36,32.5,18.1,L1,Lolos
U00459,11.441,2.171,43.3,16.3,L3,Lolos
U00460,12.145,2.175,44.5,18.3,L3,Lolos
U00461,12.028,1.646,37.6,19.6,L1,Lolos
U00462,11.957,2.024,39.2,16.1,L1,Lolos
U00463,12.31,1.873,53.0,25.0,L3,Lolos
U00464,10.166,2.356,28.5,13.4,L1,Gagal
U00465,11.751,1.843,46.6,13.6,L2,Lolos
U00466,11.482,1.986,52.0,13.2,L1,Lolos
U00467,,2.114,44.8,18.0,L1,Lolos
U00468,12.212,2.245,53.5,19.4,L3,Lolos
U00469,12.465,2.234,42.4,17.0,L1,Lolos
U00470,12.554,2.073,39.6,19.4,L1,Lolos
U00471,11.851,2.014,44.9,19.4,L1,Lolos
U00472,11.751,1.919,42.7,16.9,L1,Lolos
U00473,11.372,1.938,41.6,19.3,L3,Lolos
U00474,11.616,1.805,43.9,17.4,L2,Lolos
U00475,11.886,1.893,40.2,16.8,L1,Lolos
U00476,10.32,,45.1,16.5,L1,Gagal
U00477,10.172,2.917,45.1,18.7,L3,Gagal
U00478,11.971,1.963,47.5,21.7,L2,Lolos
U00479,12.313,1.798,39.0,14.4,L3,Lolos
U00480,11.749,2.242,37.5,16.6,L3,Lolos
U00481,12.045,1.499,38.6,18.5,L2,Lolos
U00482,12.652,2.261,46.2,23.3,L2,Lolos
U00483,11.368,1.642,49.0,19.3,L3,Lolos
U00484,12.38,2.164,49.5,15.6,L2,Lolos
U00485,12.133,1.881,46.3,15.2,L1,Lolos
U00486,12.443,2.08,48.2,21.0,L3,Lolos
U00487,12.338,2.521,44.7,17.1,L3,Lolos
U00488,11.768,1.791,47.7,14.3,L2,Lolos
U00489,12.001,1.75,47.6,21.0,L1,Lolos
U00490,11.489,2.02,40.6,18.9,L2,Lolos
U00491,11.817,2.381,38.5,14.4,L2,Lolos
U00492,12.01,2.045,53.1,14.0,L1,Lolos
U00493,10.863,2.343,55.0,11.5,L1,Gagal
U00494,12.276,2.042,51.3,16.1,L3,Lolos
U00495,12.554,1.749,38.4,18.9,L3,Lolos
U00496,10.965,2.266,51.7,20.9,L3,Gagal
U00497,,1.902,36.7,19.3,L2,Lolos
U00498,11.702,2.615,61.4,14.1,L3,Gagal
U00499,11.542,,41.3,17.1,L2,Lolos
U00500,11.947,1.669,41.7,22.3,L1,Lolos
U00501,12.041,1.929,56.7,16.5,L3,Lolos
