Tanggal,Shift,Mesin,Jumlah_Produksi,Jumlah_Cacat,Downtime (menit),Suhu_Mesin,Kelembaban
2025-11-09,Malam,B,318,11,7.9,81.7,42.9
2025-11-09,Malam,C,304,8,10.9,69.3,57.1
2025-11-09,Malam,D,383,5,1.2,74.5,79.2
2025-11-10,Pagi,A,468,2,6.4,68.2,71.1
2025-11-10,Pagi,B,441,8,0.1,73.4,28.1
2025-11-10,Pagi,C,413,5,13.7,64.1,54.5
2025-11-10,Pagi,D,380,6,14.7,,56.0
2025-11-10,Siang,A,422,7,7.4,64.6,25.0
2025-11-10,Siang,B,361,2,21.1,62.0,49.3
2025-11-10,Siang,C,381,7,110.3,74.4,74.4
2025-11-10,Siang,D,261,6,8.1,80.4,55.3
2025-11-10,Malam,A,380,9,25.1,82.9,40.7
2025-11-10,Malam,B,472,15,5.3,74.5,59.9
2025-11-10,Malam,C,332,3,42.7,66.8,
2025-11-10,Malam,D,294,6,1.5,84.2,51.3
2025-11-11,Pagi,A,287,3,10.1,76.7,64.7
2025-11-11,Pagi,B,243,3,4.9,76.8,57.9
2025-11-11,Pagi,C,368,2,13.7,72.6,61.1
2025-11-11,Pagi,D,424,8,16.4,79.3,45.8
2025-11-11,Siang,A,338,5,33.4,70.2,54.9
2025-11-11,Siang,B,381,9,104.8,58.3,40.9
2025-11-11,Siang,C,289,8,1.5,67.3,39.7
2025-11-11,Siang,D,330,7,0.8,82.9,54.5
2025-11-11,Malam,A,385,9,18.5,81.2,43.5
2025-11-11,Malam,B,372,9,3.4,81.2,52.9
2025-11-11,Malam,C,322,13,2.4,91.3,53.1
2025-11-11,Malam,D,392,6,40.3,77.7,56.8
2025-11-12,Pagi,A,261,4,30.8,70.7,64.4
2025-11-12,Pagi,B,372,8,,80.3,46.6
2025-11-12,Pagi,C,372,11,5.1,74.1,45.9
2025-11-12,Pagi,D,322,7,6.4,68.3,56.2
2025-11-12,Siang,A,397,10,6.5,75.3,62.3
2025-11-12,Siang,B,427,17,5.0,90.2,43.6
2025-11-12,Siang,C,311,10,29.7,70.7,66.2
2025-11-12,Siang,D,371,22,1.1,95.9,51.4
2025-11-12,Malam,A,340,16,46.1,70.7,30.0
2025-11-12,Malam,B,360,4,1.4,78.3,48.7
2025-11-12,Malam,C,202,4,0.9,89.9,67.2
2025-11-12,Malam,D,370,6,7.5,70.6,25.0
2025-11-13,Pagi,A,390,8,12.3,70.8,
2025-11-13,Pagi,B,400,8,4.2,67.0,
2025-11-13,Pagi,C,359,2,2.5,73.2,52.0
2025-11-13,Pagi,D,305,5,0.2,59.0,48.9
2025-11-13,Siang,A,289,10,16.3,79.0,45.9
2025-11-13,Siang,B,384,6,14.5,64.5,
2025-11-13,Siang,C,377,5,1.5,71.6,43.6
2025-11-13,Siang,D,365,8,2.9,70.4,45.2
2025-11-13,Malam,A,359,3,10.8,76.2,47.0
2025-11-13,Malam,B,397,6,12.1,71.1,
2025-11-13,Malam,C,354,5,13.5,81.3,
2025-11-13,Malam,D,350,9,21.1,80.6,42.4
2025-11-14,Pagi,A,295,4,4.9,78.0,46.6
2025-11-14,Pagi,B,302,5,24.5,75.9,58.8
2025-11-14,Pagi,C,219,9,0.1,69.8,61.7
2025-11-14,Pagi,D,294,4,21.1,81.4,31.5
2025-11-14,Siang,A,340,8,4.5,71.6,37.4
2025-11-14,Siang,B,268,7,9.1,77.5,30.9
2025-11-14,Siang,C,278,9,10.7,77.3,50.8
2025-11-14,Siang,D,435,9,7.6,76.7,61.8
2025-11-14,Malam,A,339,9,13.2,75.6,65.3
2025-11-14,Malam,B,501,12,31.7,73.4,50.8
2025-11-14,Malam,C,335,8,7.8,87.4,64.2
2025-11-14,Malam,D,346,10,6.6,89.0,48.3
2025-11-15,Pagi,A,414,8,76.8,71.8,46.1
2025-11-15,Pagi,B,407,2,15.9,70.2,31.7
2025-11-15,Pagi,C,337,5,13.1,70.2,46.6
2025-11-15,Pagi,D,289,2,3.4,69.2,57.1
2025-11-15,Siang,A,400,8,42.8,73.0,49.2
2025-11-15,Siang,B,359,4,28.4,79.1,45.3
2025-11-15,Siang,C,344,10,24.2,77.9,53.6
2025-11-15,Siang,D,339,6,3.1,77.4,50.7
2025-11-15,Malam,A,395,29,33.7,102.6,53.6
2025-11-15,Malam,B,305,5,7.9,64.7,42.8
2025-11-15,Malam,C,368,9,2.6,77.0,35.8
2025-11-15,Malam,D,309,9,0.1,85.7,64.9
2025-11-16,Pagi,A,320,9,31.5,75.2,45.3
2025-11-16,Pagi,B,340,9,7.4,64.9,62.1
2025-11-16,Pagi,C,262,9,18.7,81.1,26.3
2025-11-16,Pagi,D,320,5,3.8,63.8,55.6
2025-11-16,Siang,A,370,8,29.4,72.0,46.3
2025-11-16,Siang,B,307,3,4.4,69.6,74.0
2025-11-16,Siang,C,346,10,6.1,77.0,70.7
2025-11-16,Siang,D,400,10,2.0,78.8,51.4
2025-11-16,Malam,A,392,10,5.9,83.7,58.3
2025-11-16,Malam,B,279,11,2.8,70.5,34.5
2025-11-16,Malam,C,383,4,42.4,82.2,48.9
2025-11-16,Malam,D,235,5,27.6,83.8,45.2
2025-11-17,Pagi,A,380,9,0.0,80.8,52.2
2025-11-17,Pagi,B,398,4,2.2,79.8,43.9
2025-11-17,Pagi,C,450,5,,82.1,
2025-11-17,Pagi,D,261,6,9.8,86.1,54.8
2025-11-17,Siang,A,328,8,7.8,81.9,49.1
2025-11-17,Siang,B,525,12,5.4,80.0,43.8
2025-11-17,Siang,C,387,6,49.8,70.2,42.0
2025-11-17,Siang,D,426,10,2.6,78.3,50.9
2025-11-17,Malam,A,466,10,2.3,78.7,74.1
2025-11-17,Malam,B,291,8,0.4,84.8,53.9
2025-11-17,Malam,C,400,9,2.8,74.4,59.6
2025-11-17,Malam,D,326,7,7.6,88.9,45.2
2025-11-18,Pagi,A,323,8,24.5,86.8,38.8
2025-11-18,Pagi,B,335,12,5.8,71.6,46.0
2025-11-18,Pagi,C,359,7,2.9,83.4,61.9
2025-11-18,Pagi,D,282,6,12.8,76.6,53.1
2025-11-18,Siang,A,323,7,12.5,57.6,
2025-11-18,Siang,B,311,5,27.4,83.9,55.8
2025-11-18,Siang,C,261,1,11.2,,55.4
2025-11-18,Siang,D,318,10,4.6,85.9,48.5
2025-11-18,Malam,A,440,12,20.1,90.3,50.7
2025-11-18,Malam,B,301,5,3.4,80.9,40.7
2025-11-18,Malam,C,464,25,4.6,93.6,64.9
2025-11-18,Malam,D,399,8,56.0,78.1,32.6
2025-11-19,Pagi,A,329,6,3.9,85.0,44.4
2025-11-19,Pagi,B,403,4,0.0,85.3,
2025-11-19,Pagi,C,379,7,60.3,85.4,44.9
2025-11-19,Pagi,D,239,5,16.4,90.8,59.2
2025-11-19,Siang,A,311,10,12.3,69.2,54.9
2025-11-19,Siang,B,375,10,2.8,77.5,49.3
2025-11-19,Siang,C,265,7,7.0,65.9,60.5
2025-11-19,Siang,D,288,3,17.3,81.3,64.2
2025-11-19,Malam,A,376,14,21.9,80.3,41.5
2025-11-19,Malam,B,414,17,1.8,79.0,65.4
2025-11-19,Malam,C,337,5,3.3,79.6,60.0
2025-11-19,Malam,D,356,19,20.5,94.7,38.9
2025-11-20,Pagi,A,331,6,6.0,74.8,46.9
2025-11-20,Pagi,B,272,8,1.8,72.7,58.2
2025-11-20,Pagi,C,402,11,18.5,69.0,61.7
2025-11-20,Pagi,D,408,11,6.2,62.1,67.0
2025-11-20,Siang,A,346,9,34.9,81.8,44.2
2025-11-20,Siang,B,361,11,21.1,80.9,57.0
2025-11-20,Siang,C,300,9,13.0,87.4,35.6
2025-11-20,Siang,D,335,5,17.5,70.3,29.5
2025-11-20,Malam,A,371,26,5.7,98.8,50.3
2025-11-20,Malam,B,401,14,29.6,88.8,32.3
2025-11-20,Malam,C,317,18,5.0,94.0,59.0
2025-11-20,Malam,D,334,4,7.3,,60.9
2025-11-21,Pagi,A,374,7,39.9,84.3,34.9
2025-11-21,Pagi,B,328,12,3.6,88.4,68.6
2025-11-21,Pagi,C,329,11,0.7,74.1,47.9
2025-11-21,Pagi,D,305,5,14.8,73.0,35.3
2025-11-21,Siang,A,417,9,,69.1,51.4
2025-11-21,Siang,B,273,10,8.4,76.4,56.2
2025-11-21,Siang,C,327,8,3.6,59.7,62.9
2025-11-21,Siang,D,405,11,0.5,87.2,43.3
2025-11-21,Malam,A,313,4,17.8,82.0,38.4
2025-11-21,Malam,B,310,6,6.0,81.9,57.4
2025-11-21,Malam,C,384,10,18.2,74.7,61.1
2025-11-21,Malam,D,268,9,14.8,75.7,62.6
2025-11-22,Pagi,A,298,2,26.3,76.7,59.6
2025-11-22,Pagi,B,326,7,7.8,,
2025-11-22,Pagi,C,222,6,28.1,82.9,50.8
2025-11-22,Pagi,D,366,4,52.4,75.0,55.4
2025-11-22,Siang,A,321,5,19.3,80.5,53.8
2025-11-22,Siang,B,169,4,45.3,77.7,50.5
2025-11-22,Siang,C,356,5,0.4,75.3,55.3
2025-11-22,Siang,D,380,5,9.6,67.8,50.8
2025-11-22,Malam,A,393,5,4.7,56.8,43.2
2025-11-22,Malam,B,391,7,1.6,79.8,51.9
2025-11-22,Malam,C,376,6,9.4,81.7,53.8
2025-11-22,Malam,D,324,4,0.8,80.3,59.7
2025-11-23,Pagi,A,421,11,9.5,68.5,53.8
2025-11-23,Pagi,B,429,10,16.7,69.4,42.4
2025-11-23,Pagi,C,479,11,1.2,79.4,58.7
2025-11-23,Pagi,D,414,8,14.5,76.8,48.0
2025-11-23,Siang,A,365,5,0.8,78.9,49.4
2025-11-23,Siang,B,324,9,5.2,84.5,73.5
2025-11-23,Siang,C,429,6,23.9,82.4,40.7
2025-11-23,Siang,D,411,8,7.2,55.0,61.2
2025-11-23,Malam,A,346,8,45.0,66.6,53.7
2025-11-23,Malam,B,448,10,27.2,75.1,46.6
2025-11-23,Malam,C,261,7,2.6,70.4,51.9
2025-11-23,Malam,D,341,6,,77.2,55.6
2025-11-24,Pagi,A,376,20,1.3,92.3,
2025-11-24,Pagi,B,409,4,11.7,70.6,53.2
2025-11-24,Pagi,C,438,16,5.7,81.6,61.3
2025-11-24,Pagi,D,249,11,36.8,89.1,53.4
2025-11-24,Siang,A,415,7,1.9,74.7,57.9
2025-11-24,Siang,B,320,9,35.1,70.8,43.9
2025-11-24,Siang,C,303,6,11.8,81.0,63.7
2025-11-24,Siang,D,355,6,,78.3,46.3
2025-11-24,Malam,A,313,6,12.5,75.5,32.5
2025-11-24,Malam,B,343,10,3.4,79.2,39.1
2025-11-24,Malam,C,491,10,1.6,80.9,39.7
2025-11-24,Malam,D,379,15,7.3,81.5,46.1
2025-11-25,Pagi,A,326,3,11.6,68.8,53.9
2025-11-25,Pagi,B,252,4,11.3,63.4,49.5
2025-11-25,Pagi,C,386,5,33.0,80.9,48.0
2025-11-25,Pagi,D,358,8,55.7,84.1,44.3
2025-11-25,Siang,A,329,4,10.4,66.1,50.3
2025-11-25,Siang,B,363,9,15.9,83.4,41.7
2025-11-25,Siang,C,368,4,1.6,62.6,37.9
2025-11-25,Siang,D,358,5,18.0,72.6,65.3
2025-11-25,Malam,A,395,9,10.5,86.8,33.8
2025-11-25,Malam,B,286,11,4.3,83.5,63.1
2025-11-25,Malam,C,362,3,5.4,65.7,78.2
2025-11-25,Malam,D,377,6,11.0,78.3,32.8
2025-11-26,Pagi,A,314,5,2.6,70.0,57.7
2025-11-26,Pagi,B,325,8,1.3,74.9,55.9
2025-11-26,Pagi,C,344,3,8.1,74.5,52.9
2025-11-26,Pagi,D,416,14,20.7,80.3,65.5
2025-11-26,Siang,A,274,4,27.0,72.4,44.5
2025-11-26,Siang,B,362,22,84.3,90.5,43.3
2025-11-26,Siang,C,327,7,36.6,70.4,68.9
2025-11-26,Siang,D,142,6,4.8,68.2,59.0
2025-11-26,Malam,A,296,9,15.1,76.8,27.9
2025-11-26,Malam,B,305,5,17.2,67.2,35.7
2025-11-26,Malam,C,323,11,12.3,88.6,61.3
2025-11-26,Malam,D,384,16,12.0,91.6,36.4
2025-11-27,Pagi,A,417,9,43.0,79.5,57.5
2025-11-27,Pagi,B,371,9,6.0,81.6,46.9
2025-11-27,Pagi,C,491,9,30.9,78.2,47.5
2025-11-27,Pagi,D,325,8,75.7,68.7,54.3
2025-11-27,Siang,A,294,4,22.6,82.9,49.5
2025-11-27,Siang,B,514,6,3.9,73.0,54.6
2025-11-27,Siang,C,366,13,21.7,90.7,42.9
2025-11-27,Siang,D,323,21,10.2,93.2,48.2
2025-11-27,Malam,A,482,19,23.7,88.9,57.0
2025-11-27,Malam,B,442,16,37.7,87.2,54.6
2025-11-27,Malam,C,330,13,3.4,87.2,55.3
2025-11-27,Malam,D,336,4,15.9,63.6,72.5
2025-11-28,Pagi,A,399,20,11.5,95.8,47.5
2025-11-28,Pagi,B,359,8,12.2,85.9,56.7
2025-11-28,Pagi,C,409,8,21.5,76.9,42.7
2025-11-28,Pagi,D,342,8,8.9,74.0,51.0
2025-11-28,Siang,A,432,10,2.0,58.1,34.5
2025-11-28,Siang,B,362,9,8.3,58.8,42.2
2025-11-28,Siang,C,364,5,10.8,75.7,34.9
2025-11-28,Siang,D,415,9,12.2,68.6,55.3
2025-11-28,Malam,A,229,13,3.3,96.3,60.5
2025-11-28,Malam,B,396,16,8.7,61.0,48.8
2025-11-28,Malam,C,450,10,61.7,86.2,54.2
2025-11-28,Malam,D,330,23,1.1,93.3,68.1
2025-11-29,Pagi,A,325,2,5.2,75.8,42.0
2025-11-29,Pagi,B,385,11,7.2,66.5,66.2
2025-11-29,Pagi,C,442,13,14.4,64.5,62.0
2025-11-29,Pagi,D,360,6,35.7,66.0,25.6
2025-11-29,Siang,A,314,12,40.8,80.8,61.5
2025-11-29,Siang,B,409,6,26.7,61.4,32.8
2025-11-29,Siang,C,275,8,67.6,78.2,64.5
2025-11-29,Siang,D,336,1,9.2,80.7,39.3
2025-11-29,Malam,A,393,5,22.6,68.6,64.7
2025-11-29,Malam,B,385,9,2.9,78.6,38.8
2025-11-29,Malam,C,350,10,11.6,83.0,50.2
2025-11-29,Malam,D,344,12,25.1,90.0,45.0
2025-11-30,Pagi,A,403,6,55.4,58.6,37.0
2025-11-30,Pagi,B,375,14,69.2,66.8,57.6
2025-11-30,Pagi,C,306,4,32.6,78.6,55.2
2025-11-30,Pagi,D,306,6,17.6,65.7,49.9
2025-11-30,Siang,A,431,8,16.6,71.1,66.5
2025-11-30,Siang,B,427,9,37.6,80.3,47.7
2025-11-30,Siang,C,385,8,3.5,79.3,39.8
2025-11-30,Siang,D,354,9,0.4,86.6,59.6
2025-11-30,Malam,A,511,10,1.3,,70.5
2025-11-30,Malam,B,356,6,7.3,72.7,58.5
2025-11-30,Malam,C,334,8,,61.6,42.5
2025-11-30,Malam,D,225,10,37.5,94.4,34.2
2025-12-01,Pagi,A,275,2,10.5,,42.7
2025-12-01,Pagi,B,363,8,20.6,67.9,54.9
2025-12-01,Pagi,C,266,7,46.9,71.1,46.5
2025-12-01,Pagi,D,317,9,4.8,67.3,48.7
2025-12-01,Siang,A,379,7,52.6,81.0,46.8
2025-12-01,Siang,B,338,4,23.8,69.2,50.1
2025-12-01,Siang,C,344,22,,95.5,44.2
2025-12-01,Siang,D,402,9,9.1,72.1,34.7
2025-12-01,Malam,A,326,4,6.0,74.4,51.4
2025-12-01,Malam,B,405,11,5.8,73.6,44.6
2025-12-01,Malam,C,332,9,3.6,77.6,
2025-12-01,Malam,D,375,12,10.3,57.7,
2025-12-02,Pagi,A,389,5,6.9,83.6,37.9
2025-12-02,Pagi,B,335,9,11.2,86.4,37.0
2025-12-02,Pagi,C,361,8,18.8,77.2,30.4
2025-12-02,Pagi,D,309,8,11.9,73.3,57.3
2025-12-02,Siang,A,418,7,42.1,66.1,46.7
2025-12-02,Siang,B,368,4,0.5,84.1,58.8
2025-12-02,Siang,C,364,8,19.2,65.6,54.6
2025-12-02,Siang,D,268,7,8.0,71.7,56.1
2025-12-02,Malam,A,328,9,43.6,88.2,46.5
2025-12-02,Malam,B,300,8,13.8,88.5,72.6
2025-12-02,Malam,C,477,11,10.1,71.8,52.8
2025-12-02,Malam,D,405,10,19.3,83.2,45.9
2025-12-03,Pagi,A,321,5,7.4,74.5,28.4
2025-12-03,Pagi,B,265,3,57.9,61.2,44.9
2025-12-03,Pagi,C,361,3,8.1,72.2,63.3
2025-12-03,Pagi,D,339,9,0.6,74.5,55.2
2025-12-03,Siang,A,378,4,2.3,,55.2
2025-12-03,Siang,B,250,5,6.3,81.3,35.9
2025-12-03,Siang,C,475,7,15.1,79.2,
2025-12-03,Siang,D,316,4,21.7,79.8,51.6
2025-12-03,Malam,A,295,9,18.6,80.0,49.9
2025-12-03,Malam,B,305,5,1.6,81.7,46.3
2025-12-03,Malam,C,271,5,0.1,74.1,33.9
2025-12-03,Malam,D,308,29,2.6,104.9,49.9
2025-12-04,Pagi,A,431,11,52.9,76.3,64.8
2025-12-04,Pagi,B,419,9,8.9,65.5,66.4
2025-12-04,Pagi,C,266,8,15.8,63.8,45.5
2025-12-04,Pagi,D,367,6,2.7,78.4,30.8
2025-12-04,Siang,A,350,6,25.8,84.1,45.1
2025-12-04,Siang,B,369,12,39.6,85.3,37.5
2025-12-04,Siang,C,409,6,85.5,78.7,53.6
2025-12-04,Siang,D,261,2,30.5,70.9,55.4
2025-12-04,Malam,A,371,7,6.4,71.3,43.5
2025-12-04,Malam,B,396,9,43.9,75.2,78.0
2025-12-04,Malam,C,384,6,5.9,,71.2
2025-12-04,Malam,D,303,5,8.5,80.6,38.3
2025-12-05,Pagi,A,355,7,9.6,77.7,59.5
2025-12-05,Pagi,B,342,8,43.6,76.6,59.0
2025-12-05,Pagi,C,411,12,8.3,73.1,73.6
2025-12-05,Pagi,D,370,9,4.3,69.7,66.6
2025-12-05,Siang,A,355,10,18.5,64.9,49.6
2025-12-05,Siang,B,448,12,44.2,66.1,57.4
2025-12-05,Siang,C,338,8,48.9,84.7,48.6
2025-12-05,Siang,D,288,7,9.1,87.9,44.4
2025-12-05,Malam,A,356,8,1.5,74.1,49.9
2025-12-05,Malam,B,386,32,10.2,92.8,42.7
2025-12-05,Malam,C,313,4,21.8,76.7,44.2
2025-12-05,Malam,D,335,10,16.1,77.8,50.7
2025-12-06,Pagi,A,283,6,32.8,57.3,
2025-12-06,Pagi,B,420,29,0.6,95.8,41.4
2025-12-06,Pagi,C,398,7,1.3,72.4,58.0
2025-12-06,Pagi,D,327,7,3.0,69.9,47.9
2025-12-06,Siang,A,340,11,19.1,90.3,51.6
2025-12-06,Siang,B,297,5,3.7,57.2,54.3
2025-12-06,Siang,C,325,5,0.8,73.9,42.9
2025-12-06,Siang,D,401,11,0.8,88.8,36.8
2025-12-06,Malam,A,331,8,6.8,83.6,45.3
2025-12-06,Malam,B,279,8,0.7,90.3,33.5
2025-12-06,Malam,C,323,8,9.8,76.7,53.0
2025-12-06,Malam,D,385,5,1.0,70.8,68.6
2025-12-07,Pagi,A,413,9,11.7,72.5,57.9
2025-12-07,Pagi,B,397,5,1.1,73.8,
2025-12-07,Pagi,C,380,15,2.2,69.6,43.8
2025-12-07,Pagi,D,444,6,2.9,75.8,59.2
2025-12-07,Siang,A,287,4,36.6,78.4,54.5
2025-12-07,Siang,B,384,11,2.3,81.1,57.1
2025-12-07,Siang,C,270,2,2.3,69.2,50.4
2025-12-07,Siang,D,360,7,5.7,65.0,43.8
2025-12-07,Malam,A,369,5,10.6,81.2,49.8
2025-12-07,Malam,B,284,7,0.2,76.4,48.9
2025-12-07,Malam,C,349,2,4.4,74.7,52.9
2025-12-07,Malam,D,299,5,20.2,69.4,48.0
2025-12-08,Pagi,A,365,9,0.6,84.0,56.3
2025-12-08,Pagi,B,239,2,15.1,72.2,51.7
2025-12-08,Pagi,C,307,3,20.9,78.8,44.9
2025-12-08,Pagi,D,320,9,11.0,65.6,49.6
2025-12-08,Siang,A,382,5,10.3,69.0,51.9
2025-12-08,Siang,B,317,4,,,49.8
2025-12-08,Siang,C,383,21,9.6,92.2,54.3
2025-12-08,Siang,D,277,11,4.2,84.0,26.0
2025-12-08,Malam,A,302,9,27.8,84.7,58.7
2025-12-08,Malam,B,351,8,1.3,81.0,30.1
2025-12-08,Malam,C,375,10,14.1,77.5,41.9
2025-12-08,Malam,D,334,2,40.1,67.4,46.1
2025-12-09,Pagi,A,418,11,0.1,71.1,60.6
2025-12-09,Pagi,B,399,7,11.2,74.7,32.7
2025-12-09,Pagi,C,335,4,19.6,85.3,52.5
2025-12-09,Pagi,D,215,5,18.9,81.4,56.2
2025-12-09,Siang,A,420,9,46.8,75.1,77.6
2025-12-09,Siang,B,341,10,4.1,73.8,34.7
2025-12-09,Siang,C,406,9,22.6,74.5,36.7
2025-12-09,Siang,D,380,6,9.2,62.1,66.4
2025-12-09,Malam,A,426,8,8.7,66.5,
2025-12-09,Malam,B,346,4,1.0,74.0,38.4
2025-12-09,Malam,C,314,1,13.1,69.3,62.8
2025-12-09,Malam,D,300,12,4.3,83.5,44.0
2025-12-10,Pagi,A,349,4,24.7,66.8,59.8
2025-12-10,Pagi,B,392,4,35.7,79.9,52.0
2025-12-10,Pagi,C,479,8,16.4,77.4,38.7
2025-12-10,Pagi,D,248,2,52.0,76.8,61.1
2025-12-10,Siang,A,227,3,,75.8,43.1
2025-12-10,Siang,B,380,4,8.0,66.5,
2025-12-10,Siang,C,437,12,6.7,74.5,45.3
2025-12-10,Siang,D,435,11,40.0,76.0,52.8
2025-12-10,Malam,A,326,3,5.6,84.2,58.6
