Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year,Office_Branch
122,22,Marketing,Mid,16 tahun,193.0,Yes,1,17,13,Poor,6,68.27950932539756,87181.24712232563,18,Branch_6
123,42,HR,Senior,9 tahun,144.0,Hybrid,6,14,13,Poor,3,78.61480561175523,20000.0,14,Branch_28
124,46,HR,Mid,7 tahun,208.0,No,12,12,9,Average,1,68.31515490207713,42644.430327767215,2,Branch_28
125,30,HR,Mid,14 tahun,123.0,Yes,8,8,11,Poor,8,67.03781165774474,20000.0,4,Branch_20
126,46,Finance,Senior,5 tahun,201.0,No,6,16,9,Good,3,100.0,250000.0,19,Branch_30
127,39,Operations,Entry,26 tahun,179.0,Yes,3,7,10,Average,9,60.85398755142737,53639.616650482894,14,Branch_11
128,28,IT,Senior,19 tahun,162.0,No,12,14,11,Poor,6,63.88449461623616,59726.09458303548,11,Branch_28
129,47,Finance,Mid,24 tahun,191.0,No,7,17,9,Average,9,96.17377262570194,41355.367107916914,3,Branch_25
130,39,Marketing,Mid,17 tahun,126.0,Hybrid,10,11,7,Average,4,40.41222056254497,20031.068206799664,10,Branch_33
131,22,Marketing,Mid,8 tahun,136.0,Hybrid,10,15,14,Good,4,72.00495464071876,34539.86463130196,2,Branch_1
132,30,Marketing,Entry,29 tahun,125.0,Hybrid,14,4,9,Average,1,56.049505964545446,20000.0,0,Branch_27
133,31,Marketing,Entry,4 tahun,161.0,Yes,13,19,6,Good,4,69.64742311387215,20000.0,10,Branch_13
134,32,Operations,Mid,2 tahun,163.0,Yes,5,8,10,Good,4,65.9226395275171,51782.73962903191,12,Branch_3
135,53,IT,Senior,23 tahun,140.0,No,5,11,3,Average,1,82.1409627328867,74815.3247937638,7,Branch_6
136,42,Operations,Senior,20 tahun,121.0,Hybrid,2,8,6,Good,4,100.0,41604.67528360387,18,Branch_8
137,57,HR,Senior,13 tahun,132.0,No,12,13,13,Average,2,47.658141233048624,45081.61823140496,4,Branch_27
138,53,Finance,Senior,20 tahun,151.0,Yes,11,15,10,Good,2,89.00912440026232,53643.531866114194,2,Branch_9
139,40,Marketing,Entry,6 tahun,196.0,Yes,10,19,13,Average,3,66.8898175908448,35350.98316425207,9,Branch_33
140,29,HR,Entry,18 tahun,148.0,Yes,1,8,12,Good,1,59.13163111030411,101231.8356986506,8,Branch_24
141,56,Finance,Manager,5 tahun,124.0,Yes,2,18,10,Good,9,46.40165801355294,98975.7363651717,16,Branch_15
142,43,IT,Senior,25 tahun,209.0,Hybrid,10,14,12,Good,5,85.57612906805211,35521.08019957248,8,Branch_32
143,25,Sales,Entry,12 tahun,215.0,No,11,19,6,Good,1,47.55326293356684,44876.07716461012,11,Branch_32
144,50,IT,Mid,19 tahun,201.0,Yes,6,4,11,Average,2,88.74386886703252,29979.626701169625,10,Branch_24
145,52,Sales,Mid,20 tahun,136.0,No,2,17,0,Good,4,81.07932444323521,34210.383099139035,15,Branch_12
146,29,Marketing,Entry,29 tahun,203.0,Hybrid,6,5,6,Average,1,66.78942823174722,38318.00705927693,3,Branch_2
147,33,HR,Senior,19 tahun,134.0,Yes,2,4,12,Good,4,75.22660914346852,38705.149158606175,19,Branch_3
148,26,Operations,Manager,15 tahun,179.0,Hybrid,14,14,9,Average,3,51.75462524779867,37694.8082166441,1,Branch_17
149,51,HR,Manager,7 tahun,198.0,Yes,3,15,1,Average,1,73.12525963557727,22562.15995167961,7,Branch_2
150,56,Finance,Mid,29 tahun,187.0,No,10,3,13,Good,6,60.40634457335699,40431.337049224174,15,Branch_2
151,58,Sales,Senior,29 tahun,192.0,Yes,4,19,10,Average,9,96.89952813714514,105306.52357055504,18,Branch_28
152,25,Sales,Mid,19 tahun,163.0,Yes,1,10,6,Good,9,76.76548575841146,26965.926544818158,10,Branch_23
153,42,Finance,Manager,23 tahun,152.0,Yes,4,11,10,Average,6,84.85444238665714,31264.514800287783,13,Branch_32
154,37,HR,Manager,21 tahun,129.0,No,10,4,9,Average,6,67.48512626089456,46557.47131123426,1,Branch_33
155,39,Operations,Senior,3 tahun,166.0,Hybrid,9,14,8,Good,9,71.44555075695709,132865.78691492366,14,Branch_1
156,52,HR,Mid,1 tahun,120.0,Yes,5,7,14,Poor,8,60.36107267499965,20000.0,16,Branch_19
157,59,Finance,Manager,21 tahun,159.0,Yes,8,16,3,Good,4,87.7640016540844,57749.131156988726,9,Branch_2
158,53,Operations,Entry,25 tahun,192.0,Yes,9,18,7,Good,8,76.10624870167243,70559.27023644875,0,Branch_26
159,54,Operations,Entry,10 tahun,141.0,Hybrid,3,8,5,Excellent,1,59.60495225851327,30534.998602220174,3,Branch_32
160,40,Sales,Mid,4 tahun,145.0,Yes,14,13,2,Good,2,75.8639036227144,28208.986977487897,17,Branch_6
161,41,Operations,Senior,16 tahun,154.0,No,9,5,6,Good,7,89.58523405622115,52518.41380907075,1,Branch_32
162,31,Marketing,Entry,25 tahun,152.0,Yes,4,7,11,Average,9,85.39131698922468,74012.72233659883,2,Branch_4
163,47,Finance,Senior,12 tahun,129.0,Hybrid,3,19,5,Average,7,96.42586131566576,57433.91507484951,12,Branch_11
164,39,HR,Manager,27 tahun,180.0,Hybrid,4,12,12,Excellent,7,69.31184323503653,37706.34172720607,12,Branch_17
165,36,Marketing,Mid,10 tahun,157.0,Hybrid,12,18,8,Good,2,85.26676734012626,32162.58779399357,14,Branch_24
166,57,Marketing,Entry,3 tahun,138.0,No,0,15,2,Good,6,50.61055676349447,80469.33067954285,5,Branch_5
167,39,Sales,Mid,8 tahun,187.0,Yes,10,16,1,Good,8,73.30694846744741,55586.077442844646,0,Branch_34
168,52,Operations,Entry,5 tahun,202.0,Yes,7,11,5,Excellent,1,100.0,59011.04540959675,9,Branch_6
169,36,Finance,Mid,22 tahun,126.0,No,8,7,8,Good,7,58.86692086745159,29130.85906584368,11,Branch_22
170,59,Marketing,Mid,16 tahun,131.0,Yes,2,5,11,Good,3,74.85525462750127,39561.7657445487,15,Branch_11
171,50,IT,Mid,4 tahun,210.0,No,13,17,14,Excellent,6,49.96189522616584,53198.42384096726,1,Branch_16
172,36,Marketing,Mid,16 tahun,151.0,Yes,12,11,4,Average,5,68.78913425018422,29939.38225801816,2,Branch_33
173,22,Marketing,Mid,22 tahun,146.0,Yes,9,11,5,Good,3,95.54368470770828,58997.57072147567,3,Branch_9
174,58,Marketing,Mid,3 tahun,176.0,No,2,10,1,Poor,8,89.33042306287406,63558.76004553394,4,Branch_6
175,44,Finance,Entry,23 tahun,204.0,Hybrid,8,5,9,Poor,8,91.9773952815462,79162.2480842375,14,Branch_16
176,32,Sales,Mid,4 tahun,173.0,Yes,11,8,4,Poor,3,81.23160236849711,24213.849723660107,3,Branch_29
177,59,Sales,Mid,16 tahun,188.0,No,8,15,3,Poor,1,66.79350595189209,61243.94761023113,3,Branch_3
178,37,IT,Mid,5 tahun,202.0,Hybrid,12,11,10,Average,7,86.83409424540993,61784.60763541476,15,Branch_20
179,51,Operations,Entry,22 tahun,126.0,Yes,6,18,8,Excellent,9,67.57277112957091,89324.48312415725,1,Branch_19
180,50,IT,Entry,21 tahun,197.0,Yes,4,15,3,Average,1,100.0,41915.04881808358,8,Branch_26
181,24,Marketing,Senior,28 tahun,192.0,Yes,0,11,7,Poor,3,66.3009241164982,78788.7428390102,11,Branch_3
182,38,Marketing,Mid,18 tahun,156.0,Yes,8,10,10,Average,4,59.73347422546411,20000.0,15,Branch_19
183,47,Marketing,Manager,28 tahun,169.0,No,11,18,7,Good,6,84.20090187421071,76494.47476962401,4,Branch_20
184,30,IT,Manager,28 tahun,128.0,No,5,13,12,Poor,8,48.55785237617469,65907.51933054045,13,Branch_32
185,38,Sales,Mid,27 tahun,124.0,No,2,13,11,Average,6,82.9442762541131,62495.65835138408,7,Branch_7
186,58,IT,Mid,20 tahun,173.0,No,4,9,8,Average,3,58.89614032894566,42105.30124579896,14,Branch_33
187,52,Operations,Entry,8 tahun,167.0,Yes,10,9,1,Average,3,92.23589559653333,70754.84904146817,13,Branch_18
188,52,Sales,Mid,8 tahun,128.0,No,14,10,8,Good,2,93.14544175297424,63942.30358148228,19,Branch_1
189,32,IT,Senior,7 tahun,171.0,Hybrid,12,10,11,Average,9,80.75173937290702,51860.40495034176,16,Branch_11
190,59,Sales,Manager,10 tahun,149.0,Yes,12,7,5,Average,9,61.73879147366616,29621.91599538609,16,Branch_28
191,43,IT,Mid,2 tahun,197.0,No,8,17,6,Average,2,56.8285838647286,42008.976996843616,6,Branch_25
192,24,Sales,Mid,20 tahun,179.0,Hybrid,13,17,3,Excellent,8,61.049468507060666,80831.60430818894,18,Branch_23
193,49,Finance,Manager,25 tahun,122.0,No,14,10,2,Average,7,65.27668123100689,83931.76165279926,19,Branch_31
194,53,Finance,Entry,6 tahun,171.0,Hybrid,14,11,5,Poor,6,60.830178887758365,66430.50669872458,10,Branch_30
195,25,HR,Mid,15 tahun,143.0,Yes,0,7,0,Poor,5,59.438874901698576,38525.092273905495,12,Branch_35
196,59,Operations,Mid,14 tahun,147.0,No,13,16,7,Good,3,69.96206105022912,42435.687883420695,14,Branch_7
197,32,Sales,Entry,28 tahun,158.0,Yes,9,3,11,Average,5,55.79792244593995,55987.48787981433,10,Branch_16
198,22,Sales,Senior,27 tahun,174.0,Yes,0,16,8,Good,7,54.66296085315047,80756.66141510213,11,Branch_26
199,37,Operations,Entry,8 tahun,194.0,Yes,9,15,11,Average,4,76.27930234070078,83099.76742329317,14,Branch_2
200,55,Operations,Entry,9 tahun,200.0,Hybrid,13,17,2,Poor,5,69.29401198675177,67770.85539632171,9,Branch_1
201,53,Sales,Mid,5 tahun,201.0,No,12,13,1,Good,5,92.27909688156036,79600.89996329987,5,Branch_12
202,54,HR,Entry,5 tahun,200.0,Yes,3,14,3,Average,2,86.25405058034262,62659.563129020666,8,Branch_5
203,32,IT,Mid,9 tahun,144.0,No,5,8,6,Excellent,2,100.0,24573.962311015886,13,Branch_32
204,57,Operations,Entry,22 tahun,133.0,Yes,2,19,2,Poor,1,70.91360761739507,74573.90271099945,4,Branch_9
205,34,Finance,Mid,7 tahun,204.0,No,2,9,3,Average,1,54.87251394324933,44025.66955306277,10,Branch_35
206,41,HR,Mid,8 tahun,130.0,No,14,4,7,Good,2,40.40351999366288,250000.0,11,Branch_19
207,46,Finance,Manager,28 tahun,166.0,Yes,3,15,13,Poor,7,72.97125310823692,40878.004049909214,17,Branch_16
208,27,Marketing,Senior,24 tahun,146.0,Yes,11,14,0,Good,5,53.42078599031876,54948.03561834779,2,Branch_3
209,58,HR,Manager,15 tahun,123.0,Yes,13,19,1,Average,5,71.78333639779095,26321.508405021712,0,Branch_20
210,47,HR,Senior,29 tahun,170.0,No,0,3,9,Poor,1,100.0,23299.560022169557,0,Branch_24
211,25,Finance,Senior,3 tahun,153.0,Hybrid,4,10,12,Average,8,79.1207878742077,38319.95582732325,0,Branch_33
212,47,Sales,Senior,21 tahun,159.0,Yes,7,15,4,Average,1,90.41233068637116,72587.95730841765,4,Branch_24
213,39,Marketing,Entry,27 tahun,190.0,Hybrid,14,3,6,Average,5,100.0,33757.51288259156,5,Branch_11
214,34,Finance,Mid,17 tahun,137.0,No,13,7,6,Average,8,57.41041572907153,44432.00495982674,12,Branch_8
215,29,HR,Senior,19 tahun,138.0,No,5,16,4,Good,2,70.65615539087972,60468.30548248118,2,Branch_20
216,54,Sales,Entry,18 tahun,201.0,Yes,2,13,0,Average,6,78.46855176272021,61670.23599161046,10,Branch_35
217,37,Marketing,Entry,10 tahun,134.0,Hybrid,3,5,14,Good,4,68.1696131141926,33476.38337531894,14,Branch_25
218,52,Sales,Mid,2 tahun,194.0,Hybrid,4,17,0,Poor,6,57.98908373921272,250000.0,13,Branch_35
219,44,Finance,Manager,2 tahun,131.0,Yes,13,9,5,Excellent,2,58.732235559728366,50814.95278354896,0,Branch_25
220,37,Sales,Senior,17 tahun,154.0,Hybrid,10,18,7,Average,7,83.7576805331303,88682.60261932276,17,Branch_29
221,31,HR,Senior,15 tahun,155.0,No,4,10,7,Good,1,95.10897958080513,71700.88897835933,11,Branch_18
222,57,HR,Mid,27 tahun,131.0,Yes,1,13,0,Poor,2,66.8670224016272,36018.54539706492,5,Branch_18
223,52,IT,Mid,16 tahun,135.0,Hybrid,2,19,4,Excellent,6,73.0613199828666,32634.03545576224,8,Branch_2
224,53,Marketing,Senior,6 tahun,211.0,No,9,17,11,Excellent,5,51.32530732303013,36299.69845564731,5,Branch_35
225,42,Finance,Senior,20 tahun,163.0,No,13,9,3,Average,6,56.81844515612018,24868.951944003784,7,Branch_16
226,37,Sales,Mid,26 tahun,163.0,Hybrid,7,17,1,Average,1,96.24550485817458,57687.37488746257,6,Branch_33
